Loc2_CornyCholmc2_00000	#Cmowy l#es.
Loc2_Cyrkej2_00042	N#o haj, b#e#se to s#c#eh t#rice#cil#etneje w#ojny. M#esto Kulow, a z tym te#z cyrkej, njesm#ed#de#se so wjace ke katolskej w#erje wuznawa#c.
Loc2_Cyrkej2_00043	No jo, jo by#l to sl#ed t#yi#das#cal#etneje wojny. M#esto Kulow, a z tym teke cerkwja, njejo se w#ecej sm#e#lo ku katolskej w#erje wuznawa#y.
Loc2_Cyrkej2_00045	P#riwisnicy Luthera m#ejachu tule n#etko duchownu m#oc. Ale m#e#s#canska rada da ewangelsku cyrkej zaso zawr#e#c, dokel#z je kl#o#ster Marijineje hw#ezdy rad#di#celow postaja#l.
Loc2_Cyrkej2_00046	P#yiwisniki Luthera su how n#ento duchownu moc m#eli. Ale m#es#ca#nska rada jo da#la ewangelsku cerkwju zasej zacyni#y, dokula#z su se c#lonki rady wot kn#estwa klo#stra Marijineje gw#ezdy woli#y dali.
Loc2_Cyrkej2_00048	A p#rez tut#on katolski wliw da so porjadnje #ci#s#c wukonje#c.
Loc2_Cyrkej2_00049	A p#yez ten katolski wliw jo se da#l por#ednje #yi#s#c wugba#y.
Loc2_Cyrkej2_00051	Tajki ka#l! W#erja protestan#ca do hina#seho boha?
Loc2_Cyrkej2_00052	Take n#eco teke! W#erje protestanty do drugego Boga?
Loc2_Cyrkej2_00054	N#e. W#erimy p#reco hi#s#ce do jednoho Boha. To pak je nowy sm#er, ki#z je ze stareje romsko-katolskeje cyrkwje wu#so#l.
Loc2_Cyrkej2_00055	N#e. W#erimy p#yecej hy#s#ci do jadnogo Boga. To pak jo nowy sm#er, ken#z jo wot stareje romsko-katolskeje cerkwje wuj#se#l.
Loc2_Cyrkej2_00057	#Kehodla dyrbi to w#sitko tak #ce#zko by#c?
Loc2_Cyrkej2_00058	Cogodla dej to w#sykno tak #y#e#zko by#y?
Loc2_Cyrkej2_00060	Haj, prjedy b#e w#sitko jednorje. Ale to su stare #kasy p#reco, abo ...?
Loc2_Cyrkej2_00061	Jo, pjerwjej jo w#sykno jadnore by#lo. Ale to su zaj#done case p#yecej, abo...?
Loc2_Cyrkej2_00063	Witaj, Krabato! Ja sym Kulowski farar.
Loc2_Cyrkej2_00064	Witaj, Krabat! Ja som Kulojski fara#x.
Loc2_Cyrkej2_00066	To njeje m#o#zno. Njeznaju #zanoho, kotry#z by to p#re#ziwi#l.
Loc2_Cyrkej2_00067	To njejo mo#zno. Njeznaju #zednogo, kotary#z by to p#ye#zywi#l.
Loc2_Cyrkej2_00069	Lud#do mi wjele pow#edaja, a m#lynka sym te#z hi#zo zezna#l. Ale wodaj, Krabato, dyrbju organistej noty p#rihotowa#c.
Loc2_Cyrkej2_00070	Lu#de m#e wjele wulicuju, a m#lynika som teke ju#zo zezna#l. Ale wodaj, Krabat, dejm organistoju noty p#yigotowa#y.
Loc2_Cyrkej2_00072	#Sto je #ci to Jurij pow#eda#l?
Loc2_Cyrkej2_00073	Co jo #yi to Juro wulicowa#l?
Loc2_Cyrkej2_00075	Wo starej legend#de, s#lawnym zbytku serbskeho luda ... Ale n#e#sto njezrozumju. Zwotkel ma m#lynk kuz#larsku m#oc? W#on tola docy#la Koraktor nima a njeje knihu te#z #zenje wobsed#da#l.
Loc2_Cyrkej2_00076	Wo starej legen#de, s#lawny zbytk serbskego luda ... ale n#eco njerozm#eju. Cogodla ma m#lynik guslowarsku moc? Won ga doce#lego Koraktor njama a njejo knig#ly teke #zednje wobsej#de#l.
Loc2_Cyrkej2_00078	Njer#e#kmoj tule na dr#oze. P#oj sobu!
Loc2_Cyrkej2_00079	Njepow#edamej how na droze. Poj#d sobu!
Loc2_Doma2_00000	Tak ma#cerka sk#on#knje zhoni, w #kejich rukach jeje syn t#ki. Spo#katne wjeselo zasowid#denja so p#rewobro#ci do wulkeho stracha. Ale na#s Krabat w#sak je mudra h#l#oj#kka a b#e#se sej hi#zo w m#lynje les#c wumysli#l.
Loc2_Doma2_00001	Mama zgoni, w cejich rukach jeje syn #stycy. Wjasele zasejwi#denja na zachopje#nku se p#yewobro#yi do wjelikego t#sacha. Ale na#s Krabat ga jo mudra g#lowka a jo sebje ju#zo w m#lynje las#c wumysli#l.
Loc2_Doma2_00003	Ma#ci, jeno#z ty m#o#ze#s mi pomha#c. Pokazam #ci pu#c k #Kertowskemu m#lynej. #Zadaj sej wot m#lynka, zo mje pu#s#ci.
Loc2_Doma2_00004	Z tym nima hi#zo wupu#ca, dokel#z je wutroba lubowaceje ma#cerje za tutoho #kerta ka#z swje#cena woda.
Loc2_Doma2_00005	Hdy#z pak tute p#re#ce m#lynkej praji#s, p#rem#enja so w#sitcy wu#komnicy do rapakow. Jeno#z, jeli mje mjez nimi sp#oznaje#s, budu swobodny.
Loc2_Doma2_00006	To je ch#etro #ce#zka w#ec. Tola w#sitcy moji towar#sojo zm#eja sw#oj pysk na l#ewym boku, ja pak budu so pod prawym k#ridle#skom skuba#c.
Loc2_Doma2_00007	To je jeni#kke znamjo, kotre#z m#o#zu #ci da#c.
Loc2_Doma2_00008	Mama, jano ty mo#zo#s m#e pomaga#y. Poka#zom tebje drogu do Cartojskego m#lyna. Pominaj se wot m#lynika, a#z m#e pu#s#ci!
Loc2_Doma2_00009	Z tym njama ju#zo wudrogi, dokula#z wut#soba lubujuceje mamy jo za togo carta ako sw#eta woda.
Loc2_Doma2_00010	Ga#z pak tu p#sosbu m#lynikoju groni#s, p#yem#eniju se w#sykne wuknje#nce do rapakow. Jano, jo-lic m#e mjazy nimi spoznajo#s, budu lichotny.
Loc2_Doma2_00011	To jo bejnje #y#e#zka w#ec, ale w#sykne moje towari#se zm#eju swoj #snapac na l#ewem boku. Ja pak budu se pod p#sawym k#yid#lom skuba#y.
Loc2_Doma2_00012	To jo jadnu#kke znamje, kotare#z mogu #yi da#y.
Loc2_Doma2_00018	Krabat b#e#se zaso swobodny, ale doma namaka staru b#edu, hubjenstwo a nuzu. To b#echu w m#lynje l#ep#se ch#l#o#s#cenki sydali. Kro#siki star#sej njem#eje#staj, a ma#le nawuknjene kuz#la nochcychu tak prawje skutkowa#c.
Loc2_Doma2_00019	Krabat jo by#l zasej lichotny, ale doma jo namaka#l staru b#edu, #za#losnos#c a nuzu. To su w m#lynje l#ep#su j#ezu dawali. Pjenje#zki njejstej starjej#sej m#e#lej, ma#le nawuknjone guslowarske kuski njejsu p#sawje pomagali.
Loc2_Doma2_00021	Tola hdy#z m#eje#se Krabat chwile abo wje#kor, jako hw#ezdy na firmamen#ce li#ke#se, dopomina#se so husto na rozmo#lwu m#lynka z k#o#kku. B#e#staj tehdy wo knize bachta#loj, kotra#z dyrbje#se njesm#ernu m#oc spo#z#ke#c a kotra#z b#e#se m#lynka tak rozhn#ewa#la, dokel#z ju njewobsed#de#se.
Loc2_Doma2_00022	Ale ga#z jo m#e#l cas abo na wjacorach, ga#z jo gw#ezdy na firmamen#se licy#l, jo se cesto na rozgrono mjazy m#lynikom a kocku dopomina#l. Stej se tencas wo knig#lach rozgranja#lej, kotare#z su dejali mimo m#ery mocne by#y a kotare#z su m#lynika tak rozgorili, dokula#z njejo je wobsej#de#l.
Loc2_Doma2_00024	#fN#e#sto w#erneho je p#reco srjed#d tutoho wusmu#za.#F Tutu sadu Krabat njeb#e zaby#l. A w h#ol#kecu ros#ce#se p#re#ce, wjace wo wonej knize zhoni#c. Chcy#se ju samo pyta#c a namaka#c.
Loc2_Doma2_00025	#fN#eco w#ernego jo p#yecej srjej#d togo zmu#yonego.#F Tu sadu njejo Krabat zaby#l. A w golacku jo ros#la wola, w#ecej wo tych knig#lach zgoni#y. Jo k#y#e#l ju samo pyta#s a namaka#s.
Loc2_Doma2_00027	Wona je jara h#luboka!
Loc2_Doma2_00028	Wona jo wjelgin d#lymoka.
Loc2_Doma2_00030	Hlej, durje!
Loc2_Doma2_00031	Gl#edaj, #durja!
Loc2_Doma2_00033	To je m#oj pastyrski kij.
Loc2_Doma2_00034	To jo moj pastyrski kij.
Loc2_Doma2_00036	Runjewon d#de do Jitka.
Loc2_Doma2_00037	Rownowen #do do Jitka.
Loc2_Doma2_00039	To je moja luba ma#ci!
Loc2_Doma2_00040	DS To je moja luba ma#ci!
Loc2_Doma2_00042	Sym je tak sklud#di#l, zo so same pasu.
Loc2_Doma2_00043	Som je tak sklu#di#l, a#z se sami pasu.
Loc2_Doma2_00045	Je l#epje, zo so zaso na pu#c podam.
Loc2_Doma2_00046	Jo l#epjej, a#z se zasej na drogu poram.
Loc2_Doma2_00048	To njem#o#zu sobu wza#c!
Loc2_Doma2_00049	To njamogu sobu wze#y!
Loc2_Doma2_00051	Potom hi#s#ce do studnje padnu. N#e, n#e!
Loc2_Doma2_00052	Potom hy#s#ci do studnje padnjom. N#e, n#e!
Loc2_Doma2_00054	Ja je rad#so na pokoj wostaju.
Loc2_Doma2_00055	Ja je lubjej na pokoj wostajim.
Loc2_Doma2_00057	Tam deleka ni#ko njeje.
Loc2_Doma2_00058	Tam do#lojce nic njejo.
Loc2_Doma2_00060	Tule nic.
Loc2_Doma2_00061	How nic.
Loc2_Doma2_00063	To njeje h#odne.
Loc2_Doma2_00064	To njejo godne.
Loc2_Doma2_00066	N#e, to je #kw#elowanje zw#erjatow!
Loc2_Doma2_00067	N#e, to jo dr#ecowanje zw#erjetow!
Loc2_Doma2_00069	Woni hi#zo nje#ceknu.
Loc2_Doma2_00070	Woni ju#zo njewub#egnu.
Loc2_Doma2_00072	To jim njes#lod#di.
Loc2_Doma2_00073	To jim njes#lo#di.
Loc2_Doma2_00075	Krabato? Krabato! Sy to woprawd#de!? P#oj ke mni ...
Loc2_Doma2_00076	Krabat? Krabat! Sy ty to nap#sawdu!? Poj#d ku mnjo ...
Loc2_Doma2_00078	Cyle suchi sy. W#e#s, kajke staros#ce sm#oj sej z nanom #kini#loj - tajki do#lhi #kas ...
Loc2_Doma2_00079	W#syken ryjny sy. W#e#s, kak smej se z nanom staros#ci#lej - taki d#lujki cas...
Loc2_Doma2_00081	Ja pak sym j#on namaka#l ...
Loc2_Doma2_00082	Ja pak som jen namaka#l...
Loc2_Doma2_00084	#Sto sy namaka#l? Sk#on#knje sw#oj rozum?
Loc2_Doma2_00085	Co sy namaka#l? Sko#ncnje swoj rozym?
Loc2_Doma2_00087	#Kertowski m#lyn!
Loc2_Doma2_00088	Cartojski m#lyn!
Loc2_Doma2_00090	Je-li to jeni#kka m#o#znos#c ...
Loc2_Doma2_00091	Jo-lic jo to ta jadnu#kka mo#znos#c ...
Loc2_Doma2_00093	To je jeni#kka a poslednja m#o#znos#c, hewak sym zhubjeny - na w#e#kne!
Loc2_Doma2_00094	To jo jadnu#kka a sl#edna mo#znos#c, howac som zgubjony - na p#yecej!
Loc2_Doma2_00096	N#e, Krabato. Ty mi nihd#de wjace njep#ond#de#s. Mysli#s sej, zo #ce kral w korej#ce do Drje#zd#dan sobu wozmje?
Loc2_Doma2_00097	N#e, Krabat. Ty m#e ni#di w#ecej njepoj#do#s. Mysli#s se, a#z #yi kral w karej#ye do Drje#zd#dan sobu wzejo?
Loc2_Doma2_00099	Ale ma#ci, dyrbju tola do Drje#zd#dan! Hdy#z mam Koraktor, potom m#o#ze#s d#osta#c, #sto#zkuli sej p#reje#s!
Loc2_Doma2_00100	Ale mama, dejm ga do Drje#zd#dan! Ga#z mam Koraktor, potom mo#zo#s dosta#y, co#zkuli sebje #zycy#s!
Loc2_Doma2_00102	Ja ni#ko wjace njetrjebam. Sym te#z tak zbo#zowna. Mam tebje a nana, to mi dosaha. N#etko pak d#di sk#on#knje swinje pas#c! A #zane w#olbornos#ce ze skotom!
Loc2_Doma2_00103	Ja nic w#ecej njetrjebam. Som teke tak glucna. Mam tebje a nana - to m#e dosega. N#ento pak #di sko#ncnje swinje past - a #zedne #diwne kuski ze zw#erjetami!
Loc2_Dzera_00000	N#etko so Krabat dopomni na warnowanje lud#di a na s#lowa ma#cerje. A ma#c b#e#se te#z klu#k swobody. Wuprosy sebi wot m#lynka n#e#sto swobodneho #kasa, zo by m#oh#l star#seju wopyta#c.
Loc2_Dzera_00001	DS N#etko so Krabat dopomni na warnowanje lud#di a na s#lowa ma#cerje. A ma#c b#e#se te#z klu#k swobody. Wuprosy sebi wot m#lynka n#e#sto swobodneho #kasa, zo by m#oh#l star#seju wopyta#c.
Loc2_Dzera_00003	Je pilny, samo p#repilny - a w#on je mudry ...
Loc2_Dzera_00004	Won jo pilny, samo p#yepilny - a won jo mudry...
Loc2_Dzera_00006	... snano p#remudry ... miaw ... a l#eto je nimale dopjelni#l.
Loc2_Dzera_00007	... sna#d p#yemudry ... miaw ... a l#eto jo skoro dopo#lni#l.
Loc2_Dzera_00009	Haj! A ty w#e#s, #sto to r#eka, najlub#sa k#o#kka.
Loc2_Dzera_00010	Jo! A ty w#e#s, co to groni, nejlub#sa kocka.
Loc2_Dzera_00012	W#ezo, najl#ep#si a najmudri#si so zhubi ... miaw ... a jeho kos#ce so z#lamaja w m#lynskim kole.
Loc2_Dzera_00013	Se w#e, a#z nejl#ep#sy a nejmudrjej#sy se zgubijo ... miaw ... jogo kos#ci se zez#lamuju w m#ly#nskem kolasu.
Loc2_Dzera_00015	W kole, bjez nawr#ota ... miaw ... a helski mi#str so wjeseli.
Loc2_Dzera_00016	W kolasu, b#dez wro#yenja ... miaw ... a helski mejsta#x se wjaseli.
Loc2_Dzera_00018	Tak je postajene. #St#o#z je mudry, t#on je te#z m#ocny - a to ja njeznjesu. Jedyn po#lny m#esa#kk hi#s#ce wo#kaknu, potom w#on wumrje.
Loc2_Dzera_00019	Tak jo postajone. Chto#z jo mudry, ten jo teke mocny - a to njeznjasu. Jaden po#lny mjasec hy#s#ci pocakam, potom won wumr#ejo.
Loc2_Dzera_00021	Kos#ce so z#lamaja? Jedyn po#lny m#esa#kk hi#s#ce? Koho jeno#z m#enitaj?
Loc2_Dzera_00022	Kos#ci se zez#lamuju? Jaden po#lny mjasec hy#s#ci? - Kogo jano m#enitej?
Loc2_Dzera_00024	Ty ma#s strach, zo bud#de p#resylny ... miaw ... Bjez knihi zm#eje#s p#reco strach.
Loc2_Dzera_00025	Ty ma#s t#sach, a#z bu#do p#yemocny ... miaw ... B#dez knig#low zm#ejo#s p#yecej t#sach.
Loc2_Dzera_00027	Tajki ka#l! Kniha je pre#k, a k#onc! To je jeno#z hi#s#ce pow#es#c.
Loc2_Dzera_00028	Taka njegluka! Knig#ly su p#sec!
Loc2_Dzera_00030	Ty nima#s wulku m#oc ... miaw ... Je to jeno#z snadny, m#oli#kki d#d#el toho, #sto#z wobsahowa#se kniha - kniha w#sitkich #kornych knihow ... miaw ...
Loc2_Dzera_00031	Ty njama#s w#ecej wjeliku moc ... miaw ... ma#s jano snadny, ma#ly #d#el w gowje, co#z su wobp#yimnuli knig#ly, knig#ly w#syknych carnych knig#low ... miaw ...
Loc2_Dzera_00033	Nimam m#oc? Ja nimam m#oc? Mam #ce do zajaca p#rekuz#la#c? D#di rad#so my#se #l#oji#c ...
Loc2_Dzera_00034	Njamam mocy? Ja njamam moc? Dejm #yi do wuchaca p#yeguslowa#y? #Di lubjej my#sy #lojt...
Loc2_Dzera_00036	Ach te stare, smjerd#date my#se - to ni#ko za mnje njeje ... miaw ... A twoje kuz#larske kum#sty dosahaja runje tak za d#d#e#cace narodniny ... miaw ...
Loc2_Dzera_00037	Be, te stare, smjer#date my#sy - to nic za mnjo njejo ... miaw ... a twoje guslowarske kum#sty dosegaju rowno za to, na narodem dnju ma#le #di#yi rozwjaseli#y ... miaw ...
Loc2_Dzera_00039	Za wulke, m#ocne kuz#la faluje #ci kniha.
Loc2_Dzera_00040	Za wjelike, mocne guslowarstwa, za to #yi feluju knig#ly.
Loc2_Dzera_00042	D#di mi z pu#ca, won! A p#rihotuj w#sitko! Hdy#z p#o#knje pr#enje lis#co pada#c, padnje te#z jeho du#sa.
Loc2_Dzera_00043	#Di m#e z drogi, wen! A p#yigotuj w#sykno! Ga#z zachopiju pr#edne #lopjena pada#s, padnjo teke jogo du#sa.
Loc2_Dzera_00045	KRABATO, twoja s#lu#zba so nachila.
Loc2_Dzera_00046	KRABAT, twoja s#lu#zba se sko#ncy.
Loc2_Dzera_00048	#Sto ? Ja sym m#enjeny ... ? Ow ma#ci, pomhaj mi ...
Loc2_Dzera_00049	DS #Sto ? Ja sym m#enjeny ... ? Ow ma#ci, pomhaj mi ...
Loc2_Hojnt2_00000	To su pasle.
Loc2_Hojnt2_00001	To su pasle.
Loc2_Hojnt2_00003	P#ri hajnkowni na k#oncu #sn#ory je zw#on#kk. T#on zwoni, hdy#z je so n#e#sto #fpopadny#lo#F.
Loc2_Hojnt2_00004	P#yi jagarni na ko#ncu #snory jo zwonk. Ten zwoni, ga#z jo n#eco #f#lapi#l#F.
Loc2_Hojnt2_00006	Zw#on#kk.
Loc2_Hojnt2_00007	Zwonk.
Loc2_Hojnt2_00009	Tu wisaja kurotwy.
Loc2_Hojnt2_00010	How wise kurwoty.
Loc2_Hojnt2_00012	To je s#cin knje#zeho hajnika.
Loc2_Hojnt2_00013	To jo se#n kn#eskego jagarja.
Loc2_Hojnt2_00015	Sekera. Wona zaw#es#ce hajnikej s#lu#sa.
Loc2_Hojnt2_00016	Sekera. Wona zaw#es#ce jagarjeju s#lu#sa.
Loc2_Hojnt2_00018	Zachod do domskeho.
Loc2_Hojnt2_00019	Zachod do doma.
Loc2_Hojnt2_00021	Drjewo z l#esa.
Loc2_Hojnt2_00022	Drjewo z l#esa.
Loc2_Hojnt2_00024	To njedosahnu!
Loc2_Hojnt2_00025	To njedosegnjom.
Loc2_Hojnt2_00027	Do paslow wjace njestupju.
Loc2_Hojnt2_00028	Do paslow w#ecej njestupijom.
Loc2_Hojnt2_00030	To njem#o#zu p#red woknom. Hdy#z mje hajnik wid#di! Dyrbju to n#ekak hinak zdokonje#c.
Loc2_Hojnt2_00031	To njamogu p#yed woknom. Ga#z m#e jaga#x wi#di! Dejm to n#ekak hynac zmejstrowa#y.
Loc2_Hojnt2_00033	To hajnik pytnje.
Loc2_Hojnt2_00034	To jaga#x markujo.
Loc2_Hojnt2_00036	Hdy#z dale do wokna hladam, mje w#on snano wid#di a potom mje wuswari.
Loc2_Hojnt2_00037	Ga#z dalej p#yez wokna gl#edam, m#e won sna#d wi#di a potom m#e na#s#coka.
Loc2_Hojnt2_00039	Wona kru#ce w zd#onku t#ki!
Loc2_Hojnt2_00040	Wona twardo w pje#nku #stycy!
Loc2_Hojnt2_00042	Nochcu hajnika myli#c.
Loc2_Hojnt2_00043	Njok jagarja moli#y.
Loc2_Hojnt2_00045	P#re#ce#zke!
Loc2_Hojnt2_00046	P#ye#y#e#zke!
Loc2_Hojnt2_00048	Nochcu hajnika hi#s#ce raz mjerza#c. W#on chce tola wjelka popadny#c.
Loc2_Hojnt2_00049	Njok jagarja hy#s#ci raz rozgori#y. Won ga co wjelikana #lapi#y.
Loc2_Hojnt2_00051	Nochcu wokno rozbi#c!
Loc2_Hojnt2_00052	Njok wokno rozbi#y!
Loc2_Hojnt2_00054	Tak je njezapali#s.
Loc2_Hojnt2_00055	Tak jo njezapalijo#s.
Loc2_Inmlyn_00000	Hustohdy sed#de#se p#ri najwy#sim woknje m#lyna a mysle#se styskniwje na doma - na nana a ma#c.%%W#ezo njeb#e to jeno#z m#lynske wukub#lanje, kotre#z b#e na#s Krabat tu zezna#l. M#lynske ko#lo bjez wody njezwosta jeni#kki mysterij. A Krabat so pra#se#se, zwotkel m#lynk swoju m#oc sr#eba.
Loc2_Inmlyn_00001	Cesto jo p#yi nejwu#sem woknje m#lyna sej#de#l a styskno mysli#l na doma - na nana a mamu.%%Se w#e, a#z njejo to jano m#ly#nske wukub#lanje by#lo, kotare#z jo na#s Krabat how zezna#l. M#ly#nske kolaso b#dez wody njejo jadnu#kki mysterij wosta#l. A Krabat jo se p#sa#sa#l, wotkul m#lynik swoju moc bjerjo.
Loc2_Inmlyn_00003	J#onu w p#ozdnim l#e#cu - s#l#onco so hi#zo zeza l#esa chowa#se a Krabat b#e#se hi#s#ce n#ekotre my#ski w zornowym sk#lad#di#s#cu popadny#l - to wuhlada naraz d#d#erku, kotru#z b#echu zw#erjatka do wjercha hrymzali. Znaty h#l#os so k njemu p#redr#ewa#se ...
Loc2_Inmlyn_00004	Raz w pozdnem l#e#yu - s#ly#nco jo se ju#zo za l#esom schowa#lo a Krabat jo hy#s#ci n#ekotare my#ski na zernkowem sk#ladani#s#cu #loj#l - to wugl#eda naraz #d#erku, kotaru#z su ma#le zw#erjetka do wjercha gryzali. Znaty g#los jo by#l wus#ly#sa#y.
Loc2_Inmlyn_00006	N#etko so Krabat dopomni na warnowanje lud#di a na s#lowa ma#cerje. A ma#c b#e#se te#z klu#k do swobody.
Loc2_Inmlyn_00007	N#ento jo se Krabat dopomnje#l na warnowanje lu#di a na s#lowa mamy. A mama jo teke kluc do lichoty.
Loc2_Inmlyn_00009	#Sto? M#eni mje? Ow ma#ci, pomhaj mi!
Loc2_Inmlyn_00010	Co? M#eni m#e? Ow mama, pomoc m#e!
Loc2_Jezba_00000	Tak smale#se kralowski w#oz do srjed#di#s#ca sakskeje mocy, do Drje#zd#dan.
Loc2_Jezba_00001	Tak jo le#ye#l kralojski woz do srjej#di#s#ca sakskeje mocy, do Drje#zd#dan.
Loc2_Jezba_00003	Po #kasu so Awgust wjace za serbskeho pacho#la njezajimowa#se a tykny jeho do kralowskeje kuchnje. Krabat pak njeb#e#se s#lowa w#odneho mu#za a Kulowskeho fararja zaby#l.
Loc2_Jezba_00004	Po casu njejo se Awgust w#ecej za serbskego golca zajmowa#l a jo jogo do kralojskeje kuchnje zatka#l. Krabat pak njejo na s#lowa wodnego mu#za a Kulojskego fararja zaby#l.
Loc2_Jitk2_00000	Hm, tute durje su rje#n#se ha#k na#se ...
Loc2_Jitk2_00001	Hm, te #durja su r#ednjej#se ako na#se ...
Loc2_Jitk2_00003	To je susod#dic wozy#kk.
Loc2_Jitk2_00004	To jo susedojc wozyk.
Loc2_Jitk2_00006	Jara praktiski, ale za mnje jeno#z br#emjo.
Loc2_Jitk2_00007	Wjelgin praktiski, ale won bu#do m#e jano na zadorje.
Loc2_Jitk2_00009	Tu nicht#o doma njeje.
Loc2_Jitk2_00010	How nichten doma njejo.
Loc2_Kulow2_00000	Wikowar ma jeno#z jednu ruku.
Loc2_Kulow2_00001	Wikowa#x ma jano jadnu ruku.
Loc2_Kulow2_00003	W#on p#redawa ryby.
Loc2_Kulow2_00004	Won p#yedawa ryby.
Loc2_Kulow2_00006	Durje do domskeho.
Loc2_Kulow2_00007	#Durja do doma.
Loc2_Kulow2_00009	Tute durje su wo#kinjene.
Loc2_Kulow2_00010	Te #durja su wocynjone.
Loc2_Kulow2_00012	Syno.
Loc2_Kulow2_00013	Seno.
Loc2_Kulow2_00015	W sud#de je woda.
Loc2_Kulow2_00016	W sudobju jo woda.
Loc2_Kulow2_00018	Su zawrjene. Nimam klu#k.
Loc2_Kulow2_00019	Su zamknjone. Njamam kluc.
Loc2_Kulow2_00021	Ty tu ni#ko pyta#c nima#s!
Loc2_Kulow2_00022	Ty how nic pyta#y njama#s!
Loc2_Kulow2_00024	Wostaj durje wo#kinjene! Trjebam #kerstweho pow#etra.
Loc2_Kulow2_00025	Wostaj #durja wocynjone! Trjebam fry#sny pow#et#s.
Loc2_Kulow2_00027	Byrnje#z su durje wo#kinjene to njer#eka, zo sm#e#s zastupi#c. Zaso tajki burski h#olc!
Loc2_Kulow2_00028	Rowno#z su #durja wocynjone, to njegroni, a#z sm#ejo#s zastupi#y. Zasej taki burski golc.
Loc2_Kulow2_00030	To n#etko njetrjebam!
Loc2_Kulow2_00031	To n#ent njetrjebam!
Loc2_Kulow2_00033	Njejsym la#kny.
Loc2_Kulow2_00034	Njejsom #lacny.
Loc2_Kulow2_00036	Sudobjo je p#re#ce#zke.
Loc2_Kulow2_00037	Sudobje jo p#ye#y#e#zke.
Loc2_Kulow2_00039	Za #ko bych jeho dyrbja#l poch#losta#c?
Loc2_Kulow2_00040	Za co by jogo deja#l wot#strofowa#y?
Loc2_Kulow2_00042	Za #ko bych jeho dyrbja#l poch#losta#c?
Loc2_Kulow2_00043	Za co by jogo deja#l wot#strofowa#y?
