Loc2_CornyCholmc2_00002	Ein d#usterer Wald.
Loc2_Kulow2_00104	An diese Schlacht erinnert meine fehlende Hand und der sogenannte #fT#urkische Springbrunnen#F in Dresden.
Loc2_Kulow2_00115	Puh, ist das wirklich frischer Fisch ?
Loc2_Kulow2_00116	Hier stinkt es nach altem Fisch.
Loc2_Kulow2_00117	Die Angler bei den Eutricher Teichen meinten, da#t es dieses Jahr nicht viele Fische gibt.
Loc2_Kulow2_00118	Ach nichts - ich habe mich geirrt.
Loc2_Kulow2_00119	Danke. Ich schaue mir noch andere Buden an.
Loc2_Kulow2_00122	Selbstverst#andlich !!! Ich habe nur frischen Fisch. Was soll das hei#ten ?
Loc2_Kulow2_00125	Dann verkaufe mir doch frischen Fisch. Dieses Jahr gibt es nicht viel davon.
Loc2_Kulow2_00128	Ach, Du glaubst das ? Die wollen doch nur mehr Groschen f#ur ihre schuppigen Tiere haben. Deshalb erz#ahlen sie den Leuten
Loc2_Kulow2_00131	und auch mir so ein Geschw#atz. Aber wenn Du einen Fisch zu verkaufen hast - ich kaufe ihn gern.
Loc2_Mertens2_00002	So h#pre, Krabat, ich erz#ahle Dir von einem Buch, welches nie aus unseren K#ppfen verschwand, welches eigentlich nur eine Legende ist, ein Relikt aus alter Zeit - der Geist der Freiheit.
Loc2_Mertens2_00005	Die Alten nannten das Buch nur - KORAKTOR - Wie ist die Geschichte dieses m#achtien Buches ?
Loc2_Mertens2_00008	Nach der Ansiedlung sorbischer St#amme zwischen Oder und Elbe im 6. Jahrhundert begann auch der Handel mit den Nachbarn. Das waren aber nicht nur die Sachsen, Franken und Th#uringer, mit denen sie handelten. In unsere gegend f#uhrten auch Handelsstra#ten aus Byzanz und den arabischen L#andern. #Uber diese Wege ist auch der Koraktor in die H#ande der Milkeler (???) gefallen.
Loc2_Mertens2_00011	Der Koraktor ist ein schwarzes Buch mit wei#ten Buchstaben. Es beinhaltet aber meistens Zeichnungen, die das Zaubern beschreiben. Verantwortlich f#ur das Buch war immer der Stammes#alteste oder der Anf#uhrer des Stammes. Er gab das Buch immer an die folgende Generation weiter.
Loc2_Mertens2_00014	In der Mitte des 8. Jahrhunderts war der Frieden zu Ende. Die Absicht des fr#ankischen Kaisers Karl des Gro#ten war, die westlichen Regionen der Sorben zu unterwerfen. Anf#angliche Aufst#ande an der Westgrenze wurden bald gebrochen und die Armee des Kaisers marschierte immer weiter in den Osten.
Loc2_Mertens2_00017	Zu Anfang des 10. Jahrhunderts waren dann auch die Burgen der Milkeler (???) gef#ahrdet und die fremden Soldaten gewannen immer h#aufiger diese ungleichen K#ampfe.
Loc2_Mertens2_00020	Im Jahr 939 lie#t Markgraf Gero auf listige Art 30 slawische F#ursten umbringen. Heute sehen wir dieses Jahr als den Anfang vom Ende. Die Einheit der westlichen Slawen war v#pllig zerst#prt und unter den Folgen der Unterwerfung und Abh#angigkeit leidest auch Du noch heute, Krabat.
Loc2_Mertens2_00023	Ach ja, jetzt habe ich den Koraktor ganz vergessen. Unser Buch wurde in einer unterirdischen heiligen St#atte versteckt - vielleicht sogar auf einer Burg, damit das Buch nicht in falsche H#ande ger#at.
Loc2_Mertens2_00026	Wieso jetzt wieder heilige St#atte ? Die sorbischen oder #uberhaupt slawischen St#amme glaubten nicht nur an einen Gott, wie es der Christ tut. unsere Vorfahren glaubten an verschiedene G#ptter und #uber das ganze sorbische Land waren diese heiligen St#atten verstreut. Das sind also Orte, wo das Volk bestimmte Sachen opferte und zu den G#ptter betete.
Loc2_Mertens2_00029	Wo dieser heilige Ort ist, wei#t ich nicht genau - aber es existiert ein Schl#ussel zu diesem geheimen Raum. Es ist eine Karte und ein Schl#ussel in einem. Mehr kann ich Dir nicht sagen. Aber frage doch mal den Pfarrer in Wittichenau. Der hat unter der Kirche eine Kammer, wo er alte Schriften aufbewahrt.
Loc2_Mertens2_00032	Oh, Krabat, ich gr#u#te Dich ! Der M#uller schreit und br#ullt heute noch, wenn er nur Deinen Namen h#prt. Au#terdem hat er wieder eine neue Katze. Die alte ist leider ins M#uhlrad gefallen.
Loc2_Mertens2_00035	Ein ruhiger Teich.
Loc2_Mertens2_00038	Jetzt ist es Herbst! Ich kann nicht in jeden Teich springen, den ich sehe!
Loc2_Mertens2_00041	Hier will ich nicht angeln!
Loc2_Mertens2_00058	Wassermann ?! Bist Du es wirklich ?
Loc2_Mertens2_00059	Du h#prst und siehst doch viel, hungriger Mann (haha, sehr witzig im Deutschen...).
Loc2_Mertens2_00060	Ja, ich bin Krabat aus Eutrich.
Loc2_Mertens2_00061	Ja, ich suche das Zauberbuch - aber woher...
Loc2_Mertens2_00062	Kannst Du mir helfen ?
Loc2_Mertens2_00063	Wassermann, kannst Du die Geschichte vom Koraktor nochmal erz#ahlen ?
Loc2_Mertens2_00064	Huch, jetzt aber schnell weg.
Loc2_Mertens2_00065	Danke f#ur das Gespr#ach.
Loc2_Mertens2_00068	Sicher. Wer sonst ? Ein Faschingskost#um kanns noch nicht sein und bitte nicht an den Ohren ziehen, um es zu #uberpr#ufen !
Loc2_Mertens2_00071	Hey, sie da drau#ten - ich bin noch vom Fr#uhst#uck satt - das hei#tt #fWassermann#F !
Loc2_Mertens2_00074	Ich wei#t - und Du suchst das Zauberbuch.
Loc2_Mertens2_00077	Krabat, unsere Lausitz ist voll von dem Element, in dem ich mich zu Hause f#uhle. Ich bin doch auch ein neugieriger Kerl
Loc2_Mertens2_00080	und der Wassermann hat Dich ein bi#tchen beobachtet.
Loc2_Mertens2_00083	Sicher helfe ich Dir - wer die Schwarze M#uhle #uberlebt, hat vielleicht die F#ahigkeiten
Loc2_Mertens2_00086	Sicher, Krabat, h#pr zu...
Loc2_Mertens2_00099	Die arme Katze. Haben die nicht 9 Leben ...?
Loc2_Mertens2_00100	Sicher ist der M#uller an ihrem Tod schuld !
Loc2_Mertens2_00101	Ich habe in der M#uhle von einem m#achtigen Zauberbuch geh#prt...
Loc2_Mertens2_00102	Wassermann, kannst Du die Geschichte vom Koraktor nochmal erz#ahlen ?
Loc2_Mertens2_00103	Ich habe mich geirrt.
Loc2_Mertens2_00104	Ich komme bald zur#uck. Auf Wiedersehen.
Loc2_Mertens2_00107	Sicher hat jede Katze 9 Leben. Aber diese liebe hatte schon 8 Versuche.
Loc2_Mertens2_00110	Da#t wei#t keiner so genau. Warum bist Du #uberhaupt zur#uckgekommen ?
Loc2_Mertens2_00113	Deine Frage habe ich irgendwie vorhergesehen. Na ja, wer die Schwarze M#uhle #uberlebt, hat vielleicht die F#ahigkeit, da#t Buch zu finden.
Loc2_Mertens2_00116	Sicher, Krabat, h#pr zu...
Loc2_Mertens2_00119	Nein, diese Zeichnung habe ich noch nicht gesehen. Was unser Herr Pfarrer alles so unter der Wittichenauer Kirche findet. Sch#pne sorbische B#ucher sind dort versteckt vor dem Zugriff der Preu#ten, die die sorbische Sprache ausmerzen wollen.
Loc2_Mertens2_00122	Der Pfarrer meinte, da#t diese Sch#ussel der Schl#ussel zum Koraktor ist.
Loc2_Mertens2_00125	Sicher, sicher. Mein Gro#tvater lebte damals und er war ein guter Freund des Anf#uhrers der Milkeler (???). Der hatte oft so eine kleine Schale bei sich und achtete sehr auf sie. Das war n#amlich der einzigste Teil, der au#terhalb der heiligen St#atte getragen werden durfte. Diese Sch#ussel schm#uckten Ornamente, die die auch den Ort der heiligen St#atte zeigten.
Loc2_Mertens2_00128	Wo aber ist diese Opfersch#ussel geblieben?
Loc2_Mertens2_00131	Bei dem #Uberfall kaiserlicher oder k#pniglicher Armeen ist diese Sch#ussel in die H#ande fremder Soldaten gelangt. Sie wu#tten ja nicht, was sie symbolisiert. Die Sch#ussel verlor sich in irgendeine Schatzkammer der Junker und wechselte einige Male den Besitzer.
Loc2_Mertens2_00134	Das klingt so, als ob sie w#u#tten, wo die Opferschale jetzt ist.
Loc2_Mertens2_00137	Ja, Du hast gut zugeh#prt. Ungef#ahr vor einem Jahrhundert sa#t ich in einer Kneipe - und das in der s#achsischen Hauptstadt - in Dresden. Einen guten Wein haben die dort, da#t Dir der Magen frohlockt. Am Tisch sa#t ein Mann, irgendein Mitarbeiter des K#pnigsschlosses und er hatte lange Listen bei sich.
Loc2_Mertens2_00140	Wir haben ordentlich getrunken und nach einiger Zeit konnte ich dort mal schnell in die Listen schauen. Was mu#tte ich da sehen ? Dort war ein Teil der Kostbarkeiten verzeichnet und beschrieben, welche in der k#pniglichen Schatzkammer liegen - unter ihnen auch die Sch#ussel.
Loc2_Mertens2_00143	Sie war mir gar nicht aufgefallen, aber in der Beschreibung stand:%%Bezeichnung:   Opferschale (Eisen)%Herkunft:   Oberlausitz%Alter:   900 Jahre%Besonderheiten:   eingemei#telte Linien und Schraffuren - unbekannter Sinn
Loc2_Mertens2_00146	Da liegt unser #fSchl#ussel#F in der k#pniglichen Schatzkammer. Etwas Einfacheres gibt es doch gar nicht, oder...?
Loc2_Mertens2_00149	Wenn Du wirklich die Macht des Koraktors besitzen willst, dann mu#tt Du nach Dresden. Frag dort die Leute nach Handrij Zahrodnik (Andre G#artner). Das ist der einzige Sorbe in der Stadt, den ich kenne und der Dir helfen wird.
Loc2_Mertens2_00152	Und wenn Du ihn triffst, frag ihn doch, ob er nicht bald das Spielzeug f#ur meinen Sohn Jakob fertig hat. Er ist mir noch was schuldig...
Loc2_Mertens2_00155	Also Krabat, viel Spa#t in Dresden. Ich - blub - verschwinde jetzt.
Loc2_Mertens2_00158	Aber Wassermann, wie komme ich eigentlich nach Dresden?
Loc2_Mertens2_00161	Hmm, weg war er...
Loc2_Mertens2_00164	Interessante Sachen h#pre ich da, und Krabat ist schon auf den Spuren des Koraktors. Gut so, vielleicht nimmt er mir damit Arbeit ab.
Loc2_Mertens2_00167	Ich werde ihn beobachten, und wenn er das Buch findet, werde ich ihn ...vernichten...!
Loc2_Mertens2_00170	He, was denn jetzt? Finger weg, h#prst Du nicht ...ich bin kein Erpel...
Loc2_Mertens2_00173	Oh, mein Liebster!
Loc2_Mertens2_00176	Ich bin nicht Dein Liebster, ich bin der M#uller von der Schwarzen M#uhle, der Sohn der H#plle!
Loc2_Mertens2_00179	Klar, und das Wasser kocht schon, oder bin ich schon in der H#plle!?
Loc2_Mertens2_00182	Verschwinde, altes Entenvieh! Wenn das die H#plle w#are, w#urdest Du auf dem Thron sitzen und die Teufel w#urden packen!!!
Loc2_Mlyn2_00002	Einige Tage sp#ater begibt sich die Mutter nach Schwarzkollm. Alles passiert so, wie Krabat es gesagt hatte. Abends stand die Mutter in der dunklen Kammer und vor ihr sa#ten zw#plf Raben auf einer langen Stange.
Loc2_Mlyn2_00005	Er erbittet sich vom M#uller ein wenig Zeit, um die Eltern zu besuchen.
Loc2_Mlyn2_00010	Wie ich schon sagte, Krabat - nimm den k#urzesten Weg nach Hause !
Loc2_Mlyn2_00011	Ich habe es nicht gern, wenn meine Untergebenen durch die Lausitz schlendern. Da wird nur zu viel getratscht. Der k#urzeste Weg !!!
Loc2_Mlyn2_00014	In Ordnung. Du bekommst zeit, die Eltern zu besuchen - aber Krabat, h#pre ! Du darfst nur nach Hause,
Loc2_Mlyn2_00017	wenn du auf dem k#urzesten Weg nach Eutrich gelangst. Nun geh...
Loc2_Mlyn2_00020	wenn du auf dem k#urzesten Weg nach Eutrich gelangst. Nun geh...
Loc2_Mlyn2_00023	Mutter und Sohn eilen fr#phlich nach Hause, aber der M#uller #argerte sich sehr #uber Krabat. Er hatte herausgefunden, auf welche Art der Junge ihn #uberlistet hatte.
Loc2_Mlyn2_00026	Rache ist s#u#t, mein lieber und das dann, wenn Du sie kalt serviert bekommst !!! Auf Wiedersehen - KRABAT!!!
Loc2_Most2_00008	Nein! Die Mutter hat gesagt, da#t ich auf die Schweine aufpassen soll!
Loc2_Most2_00009	Sicher stinken sie, aber ich mu#t auf sie aufpassen!
Loc2_Most2_00010	Wenn die W#plfe sie holen, sind sie weg. Ich mu#t auf sie aufpassen.
Loc2_Most2_00011	Sicher ist das eine langweilige Arbeit. Aber es mu#t sein.
Loc2_Most2_00014	Ein Hinweisschild.
Loc2_Most2_00017	Ein Hinweisschild.
Loc2_Most2_00020	Das ist das Klosterwasser.
Loc2_Most2_00023	Es zeigt in die Richtung Ralbitz.
Loc2_Most2_00026	Ich kann nicht lesen. Aber Mutter sagte mal, da#t der Weg nach links in eine gro#te Stadt f#uhrt.
Loc2_Most2_00029	In diese Richtung m#pchte ich nicht gehen. Meine F#u#te tragen mich nicht so weit.
Loc2_Most2_00032	Ich bin nicht durstig!
Loc2_Most2_00035	Zum Baden ist es heute zu kalt!
Loc2_Most2_00038	Das will ich nicht anbrennen!
Loc2_Most2_00041	Das hat hier keinen Zweck!
Loc2_Most2_00044	Brrr! Hej, brrr!
Loc2_Most2_00047	Brrr! Hej, brrr!
