Casnik_1|Won how stra#zujo.
CornyCholmc1_5|N#e, Krabat, twoj echo #yi wotegranja. Ty stoj#s p#yi l#esu jsy Carny Cho#lmc.
CornyCholmc1_6|Huch, take n#eco zajmnego!
CornyCholmc1_7|Sna#d mogu se mojogo echa pozd#dej wotnowotki p#sa#sa#y, ale ten p#sawy rytmus za rymowanje won hy#s#ci njama.
CornyCholmc1_8|Do teje jsy njok. Som tam ces#cej na p#sosenje choj#di#l, a lu#de tam jano na mnjo #s#cokaju.
CornyCholmc1_9|chto#z pak spi, nic njep#yem#eni.
CornyCholmc1_10|da#y Krabat dobreje jo mysli.
CornyCholmc1_11|da#y ga p#yecej gluka tebje tyjo.
CornyCholmc1_12|n#ent s#ly#nco se za #yamnym l#esom chowa.
CornyCholmc1_13|Ja som Krabat, a chto m#e s#ly#sy,
CornyCholmc1_14|Golc gluki, rados#ci a spokojnos#ci,
CornyCholmc1_15|By#y m#ly#nski jo w#sak #y#e#zke #d#e#lo,
CornyCholmc1_16|Ja som Krabat, a chto m#e s#ly#sy,
CornyCholmc1_17|Golc gluki, rados#ci a spokojnos#ci,
CornyCholmc1_18|M#lynik, m#lynik - Krabat #yi wo#la,
CornyCholmc2_1|#Yamny l#es.
CornyCholmc2_2|Moj echo groni, a#z jo to Carny Cho#lmc.
CornyCholmc2_3|N#ent njok m#lynika wo#la#y.
CornyCholmc2_4|Do teje jsy njok. Som tam ces#cej na p#sosenje choj#di#l, a lu#de tam jano na mnjo #s#cokaju.
Couch_1|#Durja njejsu zamknjone.
Couch_2|#Durja su zamknjone.
Couch_3|M#eka postola.
Couch_4|Za #durja trjebam kluc.
Couch_5|Ten w#et#syk bejnje dujo.
Couch_6|#Spatna ideja!!!
Couch_7|Ahhhhhhh ...
Couch_8|By se rad lagnu#l, ale za to njamam cas!
Couch_9|Ahhhhhhh...
Cyrkej1_1|Cerkwinske #durja su zamknjone. Z cerkwje jo muzika s#ly#sa#y.
Cyrkej1_2|Nichten njes#ly#sy!
Cyrkej2_1|Cerkwinske #durja su zamknjone. Z cerkwje jo muzika s#ly#sa#y.
Cyrkej2_2|Nichten njes#ly#sy!
Cyrkej2_3|To ma#s p#sawje. Kralowka muzikowych instrumentow su orgele, a ga#z zaklince, se na#s Bog, ten kn#ez wjaseli.
Cyrkej2_4|N#e, to njejo mo#zno. Stare wu#sparanja mjazy protestantami a katolskim kn#estwom njejsu hy#s#ci rozw#ezane.
Cyrkej2_5|Tak d#lujko, a#z to njebu#do, wostanjo cerkwja zacynjona.
Cyrkej2_6|No jo, jo by#l to sl#ed t#yi#das#cal#etneje wojny. M#esto Kulow, a z tym teke cerkwja, njejo se w#ecej sm#e#lo ku katolskej w#erje wuznawa#y.
Cyrkej2_7|P#yiwisniki Luthera su how n#ento duchownu moc m#eli. Ale m#es#ca#nska rada jo da#la ewangelsku cerkwju zasej zacyni#y, dokula#z su se c#lonki rady wot kn#estwa klo#stra Marijineje gw#ezdy woli#y dali.
Cyrkej2_8|A p#yez ten katolski wliw jo se da#l por#ednje #yi#s#c wugba#y.
Cyrkej2_9|Take n#eco teke! W#erje protestanty do drugego Boga?
Cyrkej2_10|N#e. W#erimy p#yecej hy#s#ci do jadnogo Boga. To pak jo nowy sm#er, ken#z jo wot stareje romsko-katolskeje cerkwje wuj#se#l.
Cyrkej2_11|Cogodla dej to w#sykno tak #y#e#zko by#y?
Cyrkej2_12|Jo, pjerwjej jo w#sykno jadnore by#lo. Ale to su zaj#done case p#yecej, abo...?
Cyrkej2_13|Witaj, Krabat! Ja som Kulojski fara#x.
Cyrkej2_14|To njejo mo#zno. Njeznaju #zednogo, kotary#z by to p#ye#zywi#l.
Cyrkej2_15|Lu#de m#e wjele wulicuju, a m#lynika som teke ju#zo zezna#l. Ale wodaj, Krabat, dejm organistoju noty p#yigotowa#y.
Cyrkej2_16|Co jo #yi to Juro wulicowa#l?
Cyrkej2_17|Wo starej legen#de, s#lawny zbytk serbskego luda ... ale n#eco njerozm#eju. Cogodla ma m#lynik guslowarsku moc? Won ga doce#lego Koraktor njama a njejo knig#ly teke #zednje wobsej#de#l.
Cyrkej2_18|Njepow#edamej how na droze. Poj#d sobu!
Cyrkej2_19|Kaku k#sasnu muziku how s#ly#sym...
Cyrkej2_20|Sm#eju do cerkwje, aby se je wobgl#eda#l?
Cyrkej2_21|Kake wu#sparanja mjazy protestantami a katolskimi m#eni#so?
Cyrkej2_22|Ja som Krabat z Jitka.
Cyrkej2_23|Ja som wuknje#nc w m#lynje pla Carnego Cho#lmca by#l.
Cyrkej2_24|Aha, znajo#yo Cartojski m#lyn?
Cyrkej2_25|Wodny mu#z jo m#e pos#la#l. Jo m#e wo Koraktorje pow#eda#l, a ja cu how guslowarske knig#ly pyta#y.
Cyrkej2_26|Ach, nic.
Cyrkej2_27|#D#ekuju se za rozgrono.
Dingl_1|Won se wote mnjo wotwobra#ya.
Dingl_2|Prozny kru#zk a keluch.
Dingl_3|Za to njamam cas.
Dingl_4|Ja tu nic njep#yimnjom - co, ga#z zasej n#eco dokusow sporajom - n#e, n#e ...!
Dingl_5|Wu#d#e#lane ze z#lota.
Dingl_6|Konik a wojaki ze z#lota.
Dingl_7|#Zedno wino, ale list. No jo.
Dingl_8|List? Ten ned wocynijom.
Dingl_9|Derje, n#ento mam p#lony kusk zeleza, z kotarego#z kopiju zgotowijom.
Dingl_10|To su m#ery #skl#e - te teke trjebam. P#sawje tak.
Dingl_11|Podpisana a zyglowana dowolnos#c Awgusta. Pilny kjarli#sk.
Dingl_12|Aha, kluc do pok#ladni#s#ca sy wobstara#l.
Dingl_13|To jo jano zyglowana dowolnos#c. N#ento trjebam how hy#s#ci podpismo.
Dingl_14|To jo jano podpisana dowolnos#c. N#ento trjebam hy#s#ci kralojski zygel na dowolnos#c.
Dingl_15|Hej, s#lu#zabnik, sl#edk! Howac zawo#lam stra#zu.
Dingl_16|No, ty sy m#e serbska g#lowka. Ale Zagrodnikowy wodowod moja #ze#nska p#yew#so wuchwalujo. Zadoby#y se do wut#soby Sakskeje. Ty sy m#e serbska g#lowka!
Dingl_17|To#y budu #yi pomaga#y a som narski, l#ec to wum#ejo#s.
Dingl_18|Ach, s#lu#zabny! To jo derje, a#z p#yi#do#yo. Som ju#zo po#l go#diny klinka#l. Ten pijany ezel jo mojo wino wulapta#l.
Dingl_19|P#yinjas#co m#e p#sosym nowu karafu wina.
Dingl_20|Kogo ga jo m#eni#l? G#lownego stra#znika! Dejm z Awgustom popow#eda#y.
Dingl_21|Njejsy ga hy#s#ci d#lujko w gro#de? Za #durjami a na chodbje sl#edne #durja.
Dingl_22|Za #durjami a na chodbje sl#edne #durja.
Dingl_23|Som Johann Melchior Dinglinger - dworski juwel#er a p#yija#yel jogo majestos#ci Awgusta II., kurwjercha Sakskeje a krala Polskeje.
Dingl_24|A juwel#er jo #lacny. P#sosym, #ze#n po wino.
Dingl_25|Pow#eda#s wo wut#sobje Sakskeje! To jo potajmne!
Dingl_26|Co to tebje stara? #Di po wino.
Dingl_27|N#e. Som #lacny. #Di po wino.
Dingl_28|Take m#e njeznaju, to ga mo#zo ku#zdy groni#y.
Dingl_29|Ty narske #yele! To jo nejnow#sa technika - #fMade in Germany#F - w p#yicho#de bu#do to synonym za kwalitu.
Dingl_30|N#e! #Di po wino.
Dingl_31|To jo dworski stat Dehlija na narodninach wjelikomogula Awrenga Zeba - dospo#lnje ze z#lota #d#e#lany model a
Dingl_32|wjera#sk mojogo don#entej#snego statkowanja p#yi dworje jogo majestos#ci. N#ento pak malsnje po wino.
Dingl_33|Komora pok#ladow jo w podwjacornem #d#elu groda. Ju #s#citaju 1,40m - 2,60m t#luste murje. Wokna su zacynjone ze zeleznymi woke#ncami.
Dingl_34|To jo architektoniski a strategiski nejl#epjej p#yemyslona rumnos#c z nejw#et#seju w#estotu. P#yed #durjami stoj stra#znik.
Dingl_35|Jano p#e#yo: kral Awgust, groba Br#uhl, g#lowny stra#znik, archiwa#x a ja.
Dingl_36|To ga jo derje. Wy m#e #sklu wobstara#yo, a ja was p#yep#sosym na k#y#en z gowjezym m#esom.
Dingl_37|A potom budu se m#e zasej #ldzy roni#y! N#e, Krabat, tak la#zko to njejo. Ku#zdy, ken#z co do komory, trjeba wosebnu dowolnos#c Awgusta.
Dingl_38|Tu dowolnos#c trjeba#s ku#zdy raz wotnowotki, ga#z co#s do komory.
Dingl_39|Co jo wop#yimje#ye dowolnos#ci?
Dingl_40|Wobtwar#denje, cogodla do komory co#s. Potom dajo Awgust swojo podpismo a kralojski zygel.
Dingl_41|Mo#zo#yo se ga ce#ly dokument wobstara#y.
Dingl_42|Nic tak malsnje! Awgust tencas sce#lego w Drje#zd#danach njejo, a podpisane wobtwar#denje teke njamam. Ale jo hy#s#ci drugi problem.
Dingl_43|Ku#zdy ty#den cyni na#s archiwa#x inwenturu. W swojom archiwje ma zapis wobstatkow a m#erow jadnotliwych eksponatow.
Dingl_44|Aha, rozm#eju. Ga#z se potakem n#eco zgubijo, potom jano wy styrjo do krejza gr#e#snikow licy#yo. A ga#z se ku#zdy ty#de#n eksponaty kontrol#eruju... -
Dingl_45|to jo skoro njemo#zne p#yedewze#ye! Kaku mo#znos#c howac mamy?
Dingl_46|Jadnu#kka mo#znos#c jo, a#z #sklu napodobnijom. Za to pak trjebam p#lony kus zeleza, dokula#z tencas #d#e#lam jano ze z#lotom.
Dingl_47|A trjebam m#ery originalneje #skl#e, howac to nadpadnjo, ga#z podobu wum#enijom. Jo, to by pop#sawem w#sykno by#lo.
Dingl_48|Co jo z wobtwar#denim?
Dingl_49|Ow, to by skoro zaby#l! Trjebamy podpisanu a zyglowanu kralojsku dowolnos#c. A njezabydni kluc do komory pok#ladow.
Dingl_50|- p#lony kusk zeleza, z kotarego#z potom podobu zgotowijom
Dingl_51|- m#ery #skl#e, kotare#z namaka#s w archiwje
Dingl_52|- podpisanu a zyglowanu dowolnos#c Awgusta
Dingl_53|- kluc do komory
Dingl_54|Wum#enijom original z podobu. Za to pak trjebam dobru podobu, howac archiwa#x to markujo, a ja pojdu do popaj#de#nstwa.
Dingl_55|Ma#s gluku, a#z jo ta woporna #skla pom#ernje jadnory p#yedmjat a a#z se dajo la#zko a wosebnje malsnje zgotowi#y.
Dingl_56|Archiw bu#do zamknjony. Stary archiwa#x ga jo w Mi#snje na gro#de Albrechtsburg. Jano won ma kluc.
Dingl_57|Ale ja som wot njogo raz s#ly#sa#l, a#z wje#do potajmna chodba do archiwa. Ta rumnos#c jo hy#s#ci p#yed l#etom katolska kapa#la w gro#de by#la.
Dingl_58|N#ento su Drje#zd#dany pod protestantiskim wliwom, a zjawnje njesm#eju se ju#zo #zedne katolske nam#se sw#e#yi#y. W#ecej pak teke njew#em.
Dingl_59|Ten ma g#lowny stra#znik.
Dingl_60|Ako som ju#zo groni#l, kral #dinsa w gro#de njejo. Sna#d won teke zasej sl#edk p#yi#do. Wobgl#edaj se ga Awgustowu #d#e#larnju. Tam zaw#es#ce n#eco wu#zytnego namakajo#s.
Dingl_61|Cakaj! Nje#zli to zabydnjom: Wzej how njepodpisanu dowolnos#c sobu.
Dingl_62|Ja p#secej ce#lu kopicu p#yedpi#som, tak a#z trjeba kral jano hy#s#ci podpisa#y. Njezabydni na kralojski zygel. Wjele wjasela!
Dingl_63|N#ento mamy w#sykno groma#de. P#yi#d wit#ye zasej ku mnjo, potom zm#eju kopiju #skl#e gotowu. Pojdu ju ned zajt#sa wum#enit.
Dingl_64|Potakem, Krabat, how ma#s sko#ncnje swoju #sklu.
Dingl_65|Kak mogu se wam jano #d#ekowa#y? S#co teliko za mnjo a sna#d za ce#ly serbski lud cynili!
Dingl_66|N#ento pak p#yesta#n. Som wjelgin glucny, a#z mogu how na gro#de #d#e#la#y. Ja mam w#sykno, co#z se #zycym. W twojej domowni jo to zaw#es#ce hynac.
Dingl_67|Krabat jo m#e#l wopornu #sklu w rukoma. Won wupyta kortu #Lu#zyce z kapse a p#yirowna ju z wud#lypanymi linijami a #srafurami woporneje #skl#e.
Dingl_68|How jo wobraz knig#low zad#lypany, a m#estno Koraktora jo w po#lnocy Jitka. To mo#zo jano Wotrojske gro#di#s#co by#y! N#ento pak domoj!
Dingl_69|Kaki pijany kozo#l?
Dingl_70|#Do namakam g#lownego stra#znika?
Dingl_71|Kn#ez, #do namakam g#lownego stra#znika?
Dingl_72|Chto s#co Wy? Ja som Krabat.
Dingl_73|Ma#yo p#yistup ku kralojskej komorje pok#ladow?
Dingl_74|#Do namakam komoru pok#ladow?
Dingl_75|Znajo#yo Handrija Zagrodnika?
Dingl_76|Was pytam! Handrij Zagrodnik m#e s#celo.
Dingl_77|Zagrodnik jo pla was njedawno wodowod instal#erowa#l.
Dingl_78|Znajo#yo tola Zagrodnika. Musy#yo m#e pomaga#y, p#sosym!
Dingl_79|Kak se modeloju groda groni, na kotarem#z #d#e#la#yo?
Dingl_80|Pojdu po wino. Wokognu#ye p#sosym!
Dingl_81|Kak jo komora pok#ladow twarjona?
Dingl_82|Chto ma p#yistup do komory?
Dingl_83|N#ento hy#s#ci do popaj#de#nstwa njok. Na zasejwi#denje.
Dingl_84|P#sosym hy#s#ci raz: Co w#sykno trjeba#yo?
Dingl_85|Wotkul dostanjomy #sklu?
Dingl_86|Kak p#yidu do archiwa?
Dingl_87|#Do jo kluc do komory pok#ladow?
Dingl_88|Wotkul dostanjom podpismo a zygel krala?
Dingl_89|Wopytam w#sykno wobstara#y. Na zasejwi#denje.
Dingl_90|Wopytam w#sykno wobstara#y. Na zasejwi#denje.
Doma1_1|Wona jo wjelgin d#lymoka.
Doma1_2|Gl#edaj, #durja!
Doma1_3|To jo moj pastyrski kij.
Doma1_4|Rownowen #do do Jitka.
Doma1_5|To jo moja luba mama!
Doma1_6|Som je tak sklu#di#l, a#z se sami pasu.
Doma1_7|Jo l#epjej, a#z se zasej na drogu poram.
Doma1_8|To njamogu sobu wze#y!
Doma1_9|Potom hy#s#ci do studnje padnjom. N#e, n#e!
Doma1_10|Ja je lubjej na pokoj wostajim.
Doma1_11|Tam do#lojce nic njejo.
Doma1_12|How nic.
Doma1_13|To njejo godne.
Doma1_14|N#e, to jo dr#ecowanje zw#erjetow!
Doma1_15|Woni ju#zo njewub#egnu.
Doma1_16|To jim njes#lo#di.
Doma1_17|Mama, som se rozsu#di#l, a#z pojdu do sw#eta!
Doma1_18|Ale Krabat, cogodla to?
Doma1_19|#Do ga co#s?
Doma1_20|Ale kak ga co#s to zbada#y?
Doma1_21|Nichten dokradnje njew#e, #do m#lyn stoj, a pow#eda se, a#z bydli tam cart sam!
Doma1_22|Ty ga w#e#s, a#z how ni#di #zednogo #d#e#la njejo!
Doma1_23|Krabat! Sy to jadnu#kke, co#z mamy!
Doma1_24|Wudrogowanje teke pomaga#y njebu#do!
Doma1_25|Ach, to#y #di, Krabat, #di w bo#zem mjenju!
Doma1_26|Chudoba nas #zerjo, njamo#zomy dalej tak #zywe by#y.
Doma1_27|Njedosega, a#z jano p#sosyt choj#dim.
Doma1_28|Ale mama! Njamogu p#yecej jano gusy pas#c!
Doma1_29|Som s#ly#sa#l wo m#lynje, #do#z bydli m#lynik-guslowa#x, a a#z jo tam mo#zno w#ecej nawuknu#y nje#zli m#lynikojstwo!
Doma1_30|Ga#z how wostanijom, se ga teke nic njezm#enijo!
Doma1_31|Nic dalej.
Doma1_32|Derje, tak wostanjom.
Doma1_33|Krabat!!!!!!!!!!!!!!!!
Doma1_34|DS Hallo Krabato !
Doma1_35|DS Haj, haj. To sym ja by#l !
Doma2_1|Wona jo wjelgin d#lymoka.
Doma2_2|Gl#edaj, #durja!
Doma2_3|To jo moj pastyrski kij.
Doma2_4|Rownowen #do do Jitka.
Doma2_5|Som je tak sklu#di#l, a#z se sami pasu.
Doma2_6|Jo l#epjej, a#z se zasej na drogu poram.
Doma2_7|To njamogu sobu wze#y!
Doma2_8|Potom hy#s#ci do studnje padnjom. N#e, n#e!
Doma2_9|Ja je lubjej na pokoj wostajim.
Doma2_10|Tam do#lojce nic njejo.
Doma2_11|How nic.
Doma2_12|To njejo godne.
Doma2_13|N#e, to jo dr#ecowanje zw#erjetow!
Doma2_14|Woni ju#zo njewub#egnu.
Doma2_15|To jim njes#lo#di.
Doma2_16|Krabat? Krabat! Sy ty to nap#sawdu!? Poj#d ku mnjo ...
Doma2_17|W#syken ryjny sy. W#e#s, kak smej se z nanom staros#ci#lej - taki d#lujki cas...
Doma2_18|Ja pak som jen namaka#l...
Doma2_19|Co sy namaka#l? Sko#ncnje swoj rozym?
Doma2_20|Cartojski m#lyn!
Doma2_21|Jo-lic jo to ta jadnu#kka mo#znos#c ...
Doma2_22|To jo jadnu#kka a sl#edna mo#znos#c, howac som zgubjony - na p#yecej!
Doma2_23|N#e, Krabat. Ty m#e ni#di w#ecej njepoj#do#s. Mysli#s se, a#z #yi kral w karej#ye do Drje#zd#dan sobu wzejo?
Doma2_24|Ale mama, dejm ga do Drje#zd#dan! Ga#z mam Koraktor, potom mo#zo#s dosta#y, co#zkuli sebje #zycy#s!
Doma2_25|Ja nic w#ecej njetrjebam. Som teke tak glucna. Mam tebje a nana - to m#e dosega. N#ento pak #di sko#ncnje swinje past - a #zedne #diwne kuski ze zw#erjetami!
Doma2_26|Mama zgoni, w cejich rukach jeje syn #stycy. Wjasele zasejwi#denja na zachopje#nku se p#yewobro#yi do wjelikego t#sacha. Ale na#s Krabat ga jo mudra g#lowka a jo sebje ju#zo w m#lynje las#c wumysli#l.
Doma2_27|Mama, jano ty mo#zo#s m#e pomaga#y. Poka#zom tebje drogu do Cartojskego m#lyna. Pominaj se wot m#lynika, a#z m#e pu#s#ci!
Doma2_28|Z tym njama ju#zo wudrogi, dokula#z wut#soba lubujuceje mamy jo za togo carta ako sw#eta woda.
Doma2_29|Ga#z pak tu p#sosbu m#lynikoju groni#s, p#yem#eniju se w#sykne wuknje#nce do rapakow. Jano, jo-lic m#e mjazy nimi spoznajo#s, budu lichotny.
Doma2_30|To jo bejnje #y#e#zka w#ec, ale w#sykne moje towari#se zm#eju swoj #snapac na l#ewem boku. Ja pak budu se pod p#sawym k#yid#lom skuba#y.
Doma2_31|To jo jadnu#kke znamje, kotare#z mogu #yi da#y.
Doma2_32|Krabat jo by#l zasej lichotny, ale doma jo namaka#l staru b#edu, #za#losnos#c a nuzu. To su w m#lynje l#ep#su j#ezu dawali. Pjenje#zki njejstej starjej#sej m#e#lej, ma#le nawuknjone guslowarske kuski njejsu p#sawje pomagali.
Doma2_33|Ale ga#z jo m#e#l cas abo na wjacorach, ga#z jo gw#ezdy na firmamen#se licy#l, jo se cesto na rozgrono mjazy m#lynikom a kocku dopomina#l. Stej se tencas wo knig#lach rozgranja#lej, kotare#z su dejali mimo m#ery mocne by#y a kotare#z su m#lynika tak rozgorili, dokula#z njejo je wobsej#de#l.
Doma2_34|#fN#eco w#ernego jo p#yecej srjej#d togo zmu#yonego.#F Tu sadu njejo Krabat zaby#l. A w golacku jo ros#la wola, w#ecej wo tych knig#lach zgoni#y. Jo k#y#e#l ju samo pyta#s a namaka#s.
Doma2_35|DS To je moja luba ma#ci!
Doma4_1|Doma jo by#lo, se w#e, wjelike wjasele po wro#yenju zgubjonego syna. Mama jo na#somu ry#yarjeju por#ednje na#s#coka#la, ale wjacor p#yi dobrem kusku swinje, kotaru#z jo nan #slachtowa#l, su se #yamne mrokawy mamineje staros#ciwos#ci roztergnuli. Krabat jo p#yi nje#delskej ko#suli mamy zlubi#y musa#l, a#z wostanjo w domowni.
Doma4_2|Domownja jo teke serbska wjas Wotrow, nad kotarej#z tronujo gro#di#s#co na#sych pr#edownikow a jich schowani#s#co pok#ladow.%%Tam chowaju se s#lawne knig#ly. A Krabat se zasej na drogu dajo.
Dubring1_1|B#loto z bagna.
Dubring1_2|B#loto z bagna.
Dubring1_3|Jadnotliwa ga#luz.
Dubring1_4|Wotemr#ete bomy. Wugl#edaju ako t#sa#syd#la!
Dubring1_5|To smjer#di. To njep#yimnjom. Ga#z do bagna padnjom, m#e nichten njepomaga.
Dubring1_6|To smjer#di. To njep#yimnjom. Ga#z do bagna padnjom, m#e nichten njepomaga.
Dubring1_7|Tak ju njedosegnjom.
Dubring1_8|To hy#s#ci trjebam.
Dubring1_9|To hy#s#ci trjebam.
Dubring1_10|Ja ga weto g#lupy njejsom!
Dubring1_11|Ja ga weto g#lupy njejsom!
Dubring1_12|DS Te njedosahnu.
Dzera_1|Won jo pilny, samo p#yepilny - a won jo mudry...
Dzera_2|... sna#d p#yemudry ... miaw ... a l#eto jo skoro dopo#lni#l.
Dzera_3|Jo! A ty w#e#s, co to groni, nejlub#sa kocka.
Dzera_4|Se w#e, a#z nejl#ep#sy a nejmudrjej#sy se zgubijo ... miaw ... jogo kos#ci se zez#lamuju w m#ly#nskem kolasu.
Dzera_5|W kolasu, b#dez wro#yenja ... miaw ... a helski mejsta#x se wjaseli.
Dzera_6|Tak jo postajone. Chto#z jo mudry, ten jo teke mocny - a to njeznjasu. Jaden po#lny mjasec hy#s#ci pocakam, potom won wumr#ejo.
Dzera_7|Kos#ci se zez#lamuju? Jaden po#lny mjasec hy#s#ci? - Kogo jano m#enitej?
Dzera_8|Ty ma#s t#sach, a#z bu#do p#yemocny ... miaw ... B#dez knig#low zm#ejo#s p#yecej t#sach.
Dzera_9|Taka njegluka! Knig#ly su p#sec!
Dzera_10|Ty njama#s w#ecej wjeliku moc ... miaw ... ma#s jano snadny, ma#ly #d#el w gowje, co#z su wobp#yimnuli knig#ly, knig#ly w#syknych carnych knig#low ... miaw ...
Dzera_11|Njamam mocy? Ja njamam moc? Dejm #yi do wuchaca p#yeguslowa#y? #Di lubjej my#sy #lojt...
Dzera_12|Be, te stare, smjer#date my#sy - to nic za mnjo njejo ... miaw ... a twoje guslowarske kum#sty dosegaju rowno za to, na narodem dnju ma#le #di#yi rozwjaseli#y ... miaw ...
Dzera_13|Za wjelike, mocne guslowarstwa, za to #yi feluju knig#ly.
Dzera_14|#Di m#e z drogi, wen! A p#yigotuj w#sykno! Ga#z zachopiju pr#edne #lopjena pada#s, padnjo teke jogo du#sa.
Dzera_15|KRABAT, twoja s#lu#zba se sko#ncy.
Dzera_16|DS #Sto ? Ja sym m#enjeny ... ? Ow ma#ci, pomhaj mi ...
Dzera_17|DS N#etko so Krabat dopomni na warnowanje lud#di a na s#lowa ma#cerje. A ma#c b#e#se te#z klu#k swobody. Wuprosy sebi wot m#lynka n#e#sto swobodneho #kasa, zo by m#oh#l star#seju wopyta#c.
Extro_1|(c) Za#lo#zba za serbski lud 2001
Extro_2|Koraktor jo by#l w dobryma rukoma. Krabat jo by#l w#su#di znaty a zrownju dobrotnik serbskego luda. Jo na#lo#zowa#l moc knig#low a swoje nazgonjenja na dobro chudych lu#di. Jo jim jich p#eskojtu rolu pol#ep#sy#l, jo wusu#sy#l b#lota, jo zm#erowa#l #skodne njewjedra a tam a zas jo teke do Drje#zd#dan wogl#eda#l.
Extro_3|Krabat jo dobra du#sa by#la. Po jogo smjer#yi jo wosta#la jano pow#es#c, kotara#z jo se p#yez granice serbskego kraja roz#syri#la. Guslowarske knig#ly pak se #zednje w#ecej namakali njejsu. Stary m#lo#de#nc, ka#z jogo bury su pomjenjowali, njejo derbnikow m#e#l. Ale jogo duch jo #zy#lka na#sogo #zywjenja. Ku#zdy mo#zo tak mocny, wutrajny, zmu#zny a njesebny by#y ako won. Musy jano Krabatowy bok w sebje namaka#y.
Extro_4|Pow#es#c wo pastyrskem golcu z Jitka wostanjo k#suty wobstatk na#seje w#edobnos#ci, tak d#lujko ako s#ly#symy pluskotanje Klo#sterskeje wody.
Extro_5|Design gry: Jan Bje#n#s a J#prg H#ubner$$Program#erowanje: Daniel Zoba a Stefan Zarje#nk$$Kreslanki: #S#c#epan Hanu#s$$Grafika a animacije: Jan Bje#n#s$$Muzika: Micha#l Cy#z$$Dialogi a teksty: J#prg H#ubner$$Lektorka: Bo#zena Pawlikec$$P#ye#lo#zk do dolnoserb#s#ciny: Gerat Nagora$$Beta wuprob#erowanje:$Tilo Vollprecht$Stefan Krau#t$Ingo R#uckert$Micha#l Cy#z$Anke Richter$Frank Bensch$Stefan Ranft$Thomas Kliem$Stefan H#ubner$Michael Meich#tner$Marcus H#afner$Micha#l #So#lta$$Wobalka a p#yirucka: Toma#s #So#lta$$Fotografija: Toma#s #So#lta$$Wut#sobny #d#ek:$Stefan Krau#t$Torsten Mak$Weronika #Zurowa$$Zgotowjenje w nadawku Za#lo#zby za serbski lud
Gang_1|Zarzawy rje#yaz. Won how wisy.
Gang_2|Kos#c n#ekakego zw#erjeta.
Gang_3|Zamknjone #durja.
Gang_4|How jo m#e p#ye#ymojte.
Gang_5|Tak to njej#do!
Gang_6|M#e naraz magan knora. How tak a tak #diwnje smjer#di.
