Casnik_1|W#on tu stra#zuje.
Casnik_42|Hrrrrrrrrrrrrr ...
Chodba_1|Lute droho#cinki w tutym hrod#de.
Chodba_2|Wone wostanu tu!
CornyCholmc1_1|#Cmowy l#es.
CornyCholmc1_2|Wjes na kromje l#esa. Serbska wjeska.
CornyCholmc1_3|Moje echo praji, zo je to #Korny Cho#lmc.
CornyCholmc1_4|#Cmowy l#eso, s#ly#si#s m#ocny h#l#os Krabata?
CornyCholmc1_5|N#e, Krabato, tw#oj echo #ci wotmo#lwja. Steji#s p#ri l#esu #Korneho Cho#lmca.
CornyCholmc1_6|Huch, tajke n#e#sto zajimawe!
CornyCholmc1_7|Snano m#o#zu so moje echo pozd#di#so znowa pra#se#c, ale prawy rytmus za rym wono hi#s#ce nima.
CornyCholmc1_8|Do tuteje wjeski nochcu. Sym tam hus#ci#so po pro#senju chod#di#l, a lud#do tam jeno#z na mnje swarja.
CornyCholmc1_9|#st#o#z pak spi, ni#ko njep#rem#eni.
CornyCholmc1_10|njech Krabat w swojich sonach ros#ce.
CornyCholmc1_11|njech stajne zbo#zo by jemu k#c#e#lo.
CornyCholmc1_12|n#etk s#l#onco so za #cmowym l#esom chowa.
CornyCholmc1_13|Ja sym Krabat, a #st#o mje s#ly#si,
CornyCholmc1_14|Pacho#l zbo#za, rados#ce a spokojnos#ce,
CornyCholmc1_15|By#c m#lynski je w#sak #ce#zke d#d#e#lo,
CornyCholmc1_16|Ja sym Krabat, a #st#o mje s#ly#si,
CornyCholmc1_17|Pacho#l zbo#za, rados#ce a spokojnos#ce,
CornyCholmc1_18|M#lynko, m#lynko - Krabat #ce wo#la,
CornyCholmc2_1|#Cmowy l#es.
CornyCholmc2_2|Moje echo praji, zo je to #Korny Cho#lmc.
CornyCholmc2_3|N#etko nochcu m#lynka wo#la#c!
CornyCholmc2_4|Do tuteje wjeski nochcu. Sym tam hus#ci#so po pro#senju chod#di#l, a lud#do tam jeno#z na mnje swarja.
Couch_1|Durje njejsu zamknjene.
Couch_2|Durje su zamknjene.
Couch_3|Mjechke #lo#zo.
Couch_4|Za durje trjebam klu#k.
Couch_5|Tule w#et#rik ch#etro duje.
Couch_6|#Spatna ideja!!!
Couch_7|Ahhhhhhh ...
Couch_8|Bych so rady lehny#l, ale za to nimam chwile!
Couch_9|Ahhhhhhh...
Cyrkej1_1|Cyrkwinske durje su zawrjene. Z cyrkwje je hud#dba s#ly#se#c.
Cyrkej1_2|Nicht#o njes#ly#si!
Cyrkej2_1|Cyrkwinske durje su zawrjene. Z cyrkwje je hud#dba s#ly#se#c.
Cyrkej2_2|Nicht#o njes#ly#si!
Cyrkej2_3|To ma#s prawje. Kralowna hud#dbnych instrumentow su pi#s#cele, a hdy#z zaklin#ka, so na#s B#oh t#on Knjez raduje.
Cyrkej2_4|N#e, to njeje m#o#zno. Stare wu#sparanja mjez protestantami a katolskim knjejstwom njejsu hi#s#ce rozrisane.
Cyrkej2_5|Do#lho#z to njebud#de, wostanje cyrkej zawrjena.
Cyrkej2_6|N#o haj, b#e#se to s#c#eh t#rice#cil#etneje w#ojny. M#esto Kulow, a z tym te#z cyrkej, njesm#ed#de#se so wjace ke katolskej w#erje wuznawa#c.
Cyrkej2_7|P#riwisnicy Luthera m#ejachu tule n#etko duchownu m#oc. Ale m#e#s#canska rada da ewangelsku cyrkej zaso zawr#e#c, dokel#z je kl#o#ster Marijineje hw#ezdy rad#di#celow postaja#l.
Cyrkej2_8|A p#rez tut#on katolski wliw da so porjadnje #ci#s#c wukonje#c.
Cyrkej2_9|Tajki ka#l! W#erja protestan#ca do hina#seho boha?
Cyrkej2_10|N#e. W#erimy p#reco hi#s#ce do jednoho Boha. To pak je nowy sm#er, ki#z je ze stareje romsko-katolskeje cyrkwje wu#so#l.
Cyrkej2_11|#Kehodla dyrbi to w#sitko tak #ce#zko by#c?
Cyrkej2_12|Haj, prjedy b#e w#sitko jednorje. Ale to su stare #kasy p#reco, abo ...?
Cyrkej2_13|Witaj, Krabato! Ja sym Kulowski farar.
Cyrkej2_14|To njeje m#o#zno. Njeznaju #zanoho, kotry#z by to p#re#ziwi#l.
Cyrkej2_15|Lud#do mi wjele pow#edaja, a m#lynka sym te#z hi#zo zezna#l. Ale wodaj, Krabato, dyrbju organistej noty p#rihotowa#c.
Cyrkej2_16|#Sto je #ci to Jurij pow#eda#l?
Cyrkej2_17|Wo starej legend#de, s#lawnym zbytku serbskeho luda ... Ale n#e#sto njezrozumju. Zwotkel ma m#lynk kuz#larsku m#oc? W#on tola docy#la Koraktor nima a njeje knihu te#z #zenje wobsed#da#l.
Cyrkej2_18|Njer#e#kmoj tule na dr#oze. P#oj sobu!
Cyrkej2_19|Kajku krasnu hud#dbu tule s#ly#su ...
Cyrkej2_20|Sm#em do cyrkwje, zo bych sej ju wobhlada#l?
Cyrkej2_21|Kotre wu#sparanja mjez protestantami a katolskimi m#eni#ce?
Cyrkej2_22|Sym Krabat z Jitka.
Cyrkej2_23|B#ech wu#komnik w m#lynje pola #Korneho Cho#lmca.
Cyrkej2_24|Aha, znaje#ce #Kertowski m#lyn?
Cyrkej2_25|W#odny mu#z mje s#cele. Je mi wo Koraktoru pow#eda#l, a ja chcu tutu kuz#larsku knihu pyta#c.
Cyrkej2_26|Ach, ni#ko.
Cyrkej2_27|D#dakuju so za rozmo#lwu.
Dingl_1|W#on so mi wotwobro#ca.
Dingl_2|Pr#ozdny karan a keluch.
Dingl_3|Karan sobu njewozmu.
Dingl_4|Ja tu ni#ko njep#rimnu - #sto, hdy#z zaso n#e#sto sk#oncuju - n#e, n#e ...!
Dingl_5|Wud#d#e#lk ze z#lota.
Dingl_6|Konik a wojacy ze z#lota.
Dingl_7|#Zane wino, ale list. N#o haj.
Dingl_8|List? T#on hnydom wo#kinju.
Dingl_9|Derje, n#etko mam kruch #zeleza, z kotreho#z fal#sowanku zhotowju.
Dingl_10|Tole su m#ery #skl#e, te te#z trjebam. Prawje tak!
Dingl_11|Podpisana a zyglowana dowolnos#c Awgusta. Pilny kadla!
Dingl_12|Aha, klu#k do pok#ladni#s#ca sy wobstara#l.
Dingl_13|To je jeno#z zyglowana dowolnos#c. N#etko trjebam tu hi#s#ce podpismo.
Dingl_14|To je jeno#z podpisana dowolnos#c. N#etko trjebam hi#s#ce kralowski pje#kat na dowolnos#c.
Dingl_15|Hej, s#lu#zowniko, wr#o#co! Hewak zawo#lam stra#zu.
Dingl_16|N#o, ty sy mi serbska heja. Ale Zahrodnikowy wodow#od moja #zona p#rew#so wuchwaluje. Tu#z budu #ci pomha#c a sym w#cipny, ha#k to zam#o#ze#s:
Dingl_17|Zadoby#c so do wutroby Sakskeje. Ty sy mi serbska heja!
Dingl_18|Ach, s#lu#zowny! To je derje, zo d#de#s. Sym hi#zo po#l hod#diny za tobu zwoni#l. T#on pjany kozo#l je moje winko wulapta#l.
Dingl_19|P#rinjes mi pro#su nowy karan wina.
Dingl_20|H#lowny stra#znik! Dyrbju z Awgustom por#e#ke#c.
Dingl_21|Njejsy drje hi#s#ce do#lho w hrod#de? Za durjemi a na ch#odbje poslednje durje.
Dingl_22|Za durjemi a na ch#odbje poslednje durje.
Dingl_23|Sym Johann Melchior Dinglinger, dw#orski juwel#er a p#re#cel jeho majestos#ce Awgusta II., kurwjercha Sakskeje a krala P#olskeje.
Dingl_24|A juwel#er je la#kny. Pro#su, dob#eh#n po winko.
Dingl_25|R#e#ki#s wo wutrobje Sakskeje! To je tajne!
Dingl_26|#Sto to tebje stara? D#di po wino.
Dingl_27|N#e. Sym la#kny. D#di po wino.
Dingl_28|Tute mjeno njeznaju, to m#o#ze tola k#o#zdy praji#c.
Dingl_29|Ty w#cipna J#ewa! To je najnow#sa technika - #fmade in Germany#F - w p#richod#de bud#de to synonym za kwalitu.
Dingl_30|N#e! D#di po wino!
Dingl_31|To su dworjenjo Dehlija na narodninach wulkomogula Awrenga Zeba - dospo#lnje ze z#lota d#d#e#lany model a
Dingl_32|wjer#sk mojeho dotalneho skutkowanja p#ri dworje jeho majestos#ce. N#etko pak sp#echaj po winko.
Dingl_33|Pok#ladni#s#co je w zapadnym d#d#elu hrodu. #Skitane je p#rez 1,40m do 2,60m to#lste murje. Wokna su zawrjene ze #zeleznymi woke#ncami.
Dingl_34|P#red durjemi steji stra#znik. To je architektonisce a strategisce najl#epje p#remyslena rumnos#c z najwjet#sej w#estotu.
Dingl_35|Jeno#z pje#co: kral Awgust, hrabja Br#uhl, h#lowny stra#znik, archiwar a ja.
Dingl_36|To je tola derje. Wy mi #sklu wobstara#ce, a ja was p#repro#su na chr#en z howjazym mjasom.
Dingl_37|A potom budu so mi zaso sylzy roni#c! N#e, Krabato, tak lochce to njeje. K#o#zdy, ki#z chce do komory, trjeba wosebitu dowolnos#c Awgusta.
Dingl_38|Tutu dowolnos#c trjeba#s k#o#zdy raz znowa, hdy#z chce#s do komory.
Dingl_39|#Sto je wobsah dowolnos#ce?
Dingl_40|Potwjerd#denka, kotra#z dowola p#ristup do komory. Potom da Awgust swoje podpismo a kralowski pje#kat.
Dingl_41|M#o#ze#ce sej tola cy#ly dokument wobstara#c.
Dingl_42|Nic tak skoku! Awgust tuchwilu docy#la w Drje#zd#danach njeje, a podpisane potwjerd#denki nimam. Ale je hi#s#ce druhi problem.
Dingl_43|K#o#zdy tyd#de#n #kini na#s archiwar inwenturu. W swojim archiwje ma zapis wobstatkow a m#erow jednotliwych p#redmjetow.
Dingl_44|Aha, rozumju. Hdy#z so potajkim n#e#sto zhubi, potom jeno#z wy #styrjo do kruha podhladnych li#ki#ce. A hdy#z so k#o#zdy tyd#de#n wobstatki kontroluja ... -
Dingl_45|to je skoro njem#o#zne p#redewza#ce! Kotru m#o#znos#c hewak mamy?
Dingl_46|Jeni#kka m#o#znos#c je, zo #sklu napodobnju. Za to pak trjebam p#lony kruch #zeleza, dokel#z tuchwilu jeno#z ze z#lotom d#d#e#lam.
Dingl_47|A trjebam m#ery originalneje #skl#e. Njesm#e d#d#e to napadny#c, hdy#z #skli wum#enju. To by poprawom w#sitko by#lo.
Dingl_48|#Sto je z potwjerd#denku?
Dingl_49|Ow, to bych nimale zaby#l! Trjebamy podpisanu a zyglowanu kralowsku dowolnos#c. A njezabud#d klu#k do pok#ladni#s#ca.
Dingl_50|- p#lony kusk #zeleza, z kotreho#z potom napodobiznu zhotowju
Dingl_51|- m#ery #skl#e, namaka#s je w archiwje
Dingl_52|- podpisanu a zyglowanu dowolnos#c Awgusta
Dingl_53|- klu#k do komory
Dingl_54|Wum#enju original z napodobiznu. Ta pak dyrbi jara dobra by#c, hewak archiwar to pytnje, a tyknu mje do jastwa.
Dingl_55|Ma#s zbo#zo, zo je tuta woporna #skla pom#ernje jednorje zhotowjena. Tak da so lochce a wosebje sp#e#snje fal#sowa#c.
Dingl_56|Archiw bud#de zamknjeny. Stary archiwar je mjenujcy w Mi#snje na hrod#de Albrechtsburg. Tola jeno#z w#on ma klu#k.
Dingl_57|Ale sym wot njeho j#onu s#ly#sa#l, zo wjed#de tajna ch#odba do archiwa. Tuta rumnos#c b#e hi#s#ce p#red l#etom katolska kapa#la.
Dingl_58|N#etko su Drje#zd#dany pod protestantiskim wliwom, a zjawnje njesm#ed#da so hi#zo #zane katolske kem#se swje#ci#c. Wjace pak te#z njew#em.
Dingl_59|T#on ma h#lowny stra#znik.
Dingl_60|Ka#z hi#zo prajach, kral d#densa w hrod#de njeje. Snano so w#on te#z prjedy nawr#o#ci. Wobhladaj sej tola Awgustowu d#d#e#larnju. Tam zaw#es#ce n#e#sto wu#zitneho namaka#s.
Dingl_61|#Kakaj! Prjedy ha#k to zabudu: wzmi tutu njepodpisanu potwjerd#denku sobu.
Dingl_62|Ja p#reco cy#lu kopicu p#redpisam, tak zo trjeba kral jeno#z hi#s#ce podpisa#c. Njezabud#d na kralowski pje#kat. Wjele wjesela!
Dingl_63|N#etko mamy w#sitko hromad#de. P#oj jut#re zaso ke mni, potom zm#eju #sklu sfal#sowanu. P#o#ndu ju hnydom rano wum#eni#c.
Dingl_64|Potajkim, Krabato, tu ma#s sk#on#knje swoju #sklu.
Dingl_65|Kak m#o#zu so wam jeno#z d#dakowa#c? S#ce telko za mnje a snano za cy#ly serbski lud #kini#l!
Dingl_66|N#etko pak p#resta#n pow#eda#c. Sym zbo#zowny, zo sm#em tu w hrod#de d#d#e#la#c. Tu mam w#sikto, #sto#z sej p#reju. W twojej domiznje je to zaw#es#ce hinak.
Dingl_67|Sk#on#knje d#der#ze#se Krabat wopornu #sklu w rukomaj. W#on wukramos#ci kartu #Lu#zicy ze zaka a p#riruna ju z wudypanymi linijemi a #srafurami woporneje #skl#e.
Dingl_68|Tu je kniha zadypana, a m#estno Koraktora je ju#znje Jitka. To m#o#ze jeno#z Wotrowske hrod#di#s#co by#c! N#etko pak domoj!
Dingl_69|Kajki pjany kozo#l?
Dingl_70|Hd#de nade#ndu h#lowneho stra#znika?
Dingl_71|Knje#ze, hd#de namakam h#lowneho stra#znika?
Dingl_72|Ja sym Krabat. #St#o wy s#ce?
Dingl_73|Ma#ce p#ristup ke kralowskemu pok#ladni#s#cu?
Dingl_74|Hd#de namakam pok#ladni#s#co?
Dingl_75|Znaje#ce Handrija Zahrodnika?
Dingl_76|Was pytam! Handrij Zahrodnik mje s#cele.
Dingl_77|Zahrodnik je pola was njedawno wodow#od k#lad#l.
Dingl_78|Znaje#ce tola Zahrodnika. Dyrbi#ce mi pomha#c! Ja was pro#su!
Dingl_79|Kak so tw#orba mjenuje, na kotrej#z d#d#e#la#ce?
Dingl_80|P#o#ndu po wino. Wokomik pro#su!
Dingl_81|Kak je pok#ladni#s#co twarjene?
Dingl_82|#St#o ma p#ristup do pok#ladni#s#ca?
Dingl_83|N#etko hi#s#ce do jastwa nochcu. Bo#zemje.
Dingl_84|Pro#su hi#s#ce raz: #Sto w#sitko trjeba#ce?
Dingl_85|Zwotkel d#ostanjemy #sklu?
Dingl_86|Kak p#ri#ndu do archiwa?
Dingl_87|Hd#de je klu#k do pok#ladni#s#ca?
Dingl_88|Zwotkel d#ostanu podpismo a pje#kat krala?
Dingl_89|Spytam w#sitko wobstara#c. Bo#zemje.
Dingl_90|Spytam w#sitko wobstara#c. Bo#zemje.
Doma1_1|Wona je jara h#luboka!
Doma1_2|Hlej, durje!
Doma1_3|To je m#oj pastyrski kij.
Doma1_4|Runjewon d#de do Jitka.
Doma1_5|To je moja luba ma#ci!
Doma1_6|Sym je tak sklud#di#l, zo so same pasu.
Doma1_7|Je l#epje, zo so zaso na pu#c podam.
Doma1_8|To njem#o#zu sobu wza#c!
Doma1_9|Potom hi#s#ce do studnje padnu. N#e, n#e!
Doma1_10|Ja je rad#so na pokoj wostaju.
Doma1_11|Tam deleka ni#ko njeje.
Doma1_12|Tule nic.
Doma1_13|To njeje h#odne.
Doma1_14|N#e, to je #kw#elowanje zw#erjatow!
Doma1_15|Woni hi#zo nje#ceknu.
Doma1_16|To jim njes#lod#di.
Doma1_17|Ma#ci, sym so rozsud#di#l, zo p#o#ndu do sw#eta!
Doma1_18|Ale Krabato, #kehodla to?
Doma1_19|Dokal da chce#s?
Doma1_20|Ale kak da chce#s to zdokonje#c?
Doma1_21|Nicht#o njew#e, hd#de m#lyn dok#ladnje steji, a pow#eda so, zo bydli tam #kert sam!
Doma1_22|W#e#s, zo tule d#d#e#la njeje!
Doma1_23|Krabato! Sy to jeni#kke, #sto#z mamy!
Doma1_24|Wupu#cowanje te#z pomha#c njebud#de!
Doma1_25|Ach, tu#z d#di, Krabato, d#di w bo#zim mjenje!
Doma1_26|Chudoba nas #zerje, njem#o#zemy dale tak #ziwi by#c!
Doma1_27|Njedosaha, zo jeno#z po pro#senju chod#du!
Doma1_28|Ale ma#ci! Njem#o#zu stajnje jeno#z husy pas#c!
Doma1_29|Sym s#ly#sa#l wo m#lynje, hd#de#z bydli m#lynk-#kinkar, a zo je m#o#zno, tam wjace nawukny#c, dy#zli m#lynstwo!
Doma1_30|Hdy#z tu wostanu, so tola te#z ni#ko njezm#eni!
Doma1_31|Ni#ko dale.
Doma1_32|Derje, tak njep#o#ndu!
Doma1_33|Krabato!!!!!!!!!!!!!!!!!!!
Doma1_34|Hallo Krabato !
Doma1_35|Haj, haj. To sym ja by#l !
Doma2_1|Wona je jara h#luboka!
Doma2_2|Hlej, durje!
Doma2_3|To je m#oj pastyrski kij.
Doma2_4|Runjewon d#de do Jitka.
Doma2_5|Sym je tak sklud#di#l, zo so same pasu.
Doma2_6|Je l#epje, zo so zaso na pu#c podam.
Doma2_7|To njem#o#zu sobu wza#c!
Doma2_8|Potom hi#s#ce do studnje padnu. N#e, n#e!
Doma2_9|Ja je rad#so na pokoj wostaju.
Doma2_10|Tam deleka ni#ko njeje.
Doma2_11|Tule nic.
Doma2_12|To njeje h#odne.
Doma2_13|N#e, to je #kw#elowanje zw#erjatow!
Doma2_14|Woni hi#zo nje#ceknu.
Doma2_15|To jim njes#lod#di.
Doma2_16|Krabato? Krabato! Sy to woprawd#de!? P#oj ke mni ...
Doma2_17|Cyle suchi sy. W#e#s, kajke staros#ce sm#oj sej z nanom #kini#loj - tajki do#lhi #kas ...
Doma2_18|Ja pak sym j#on namaka#l ...
Doma2_19|#Sto sy namaka#l? Sk#on#knje sw#oj rozum?
Doma2_20|#Kertowski m#lyn!
Doma2_21|Je-li to jeni#kka m#o#znos#c ...
Doma2_22|To je jeni#kka a poslednja m#o#znos#c, hewak sym zhubjeny - na w#e#kne!
Doma2_23|N#e, Krabato. Ty mi nihd#de wjace njep#ond#de#s. Mysli#s sej, zo #ce kral w korej#ce do Drje#zd#dan sobu wozmje?
Doma2_24|Ale ma#ci, dyrbju tola do Drje#zd#dan! Hdy#z mam Koraktor, potom m#o#ze#s d#osta#c, #sto#zkuli sej p#reje#s!
Doma2_25|Ja ni#ko wjace njetrjebam. Sym te#z tak zbo#zowna. Mam tebje a nana, to mi dosaha. N#etko pak d#di sk#on#knje swinje pas#c! A #zane w#olbornos#ce ze skotom!
Doma2_26|Tak ma#cerka sk#on#knje zhoni, w #kejich rukach jeje syn t#ki. Spo#katne wjeselo zasowid#denja so p#rewobro#ci do wulkeho stracha. Ale na#s Krabat w#sak je mudra h#l#oj#kka a b#e#se sej hi#zo w m#lynje les#c wumysli#l.
Doma2_27|Ma#ci, jeno#z ty m#o#ze#s mi pomha#c. Pokazam #ci pu#c k #Kertowskemu m#lynej. #Zadaj sej wot m#lynka, zo mje pu#s#ci.
Doma2_28|Z tym nima hi#zo wupu#ca, dokel#z je wutroba lubowaceje ma#cerje za tutoho #kerta ka#z swje#cena woda.
Doma2_29|Hdy#z pak tute p#re#ce m#lynkej praji#s, p#rem#enja so w#sitcy wu#komnicy do rapakow. Jeno#z, jeli mje mjez nimi sp#oznaje#s, budu swobodny.
Doma2_30|To je ch#etro #ce#zka w#ec. Tola w#sitcy moji towar#sojo zm#eja sw#oj pysk na l#ewym boku, ja pak budu so pod prawym k#ridle#skom skuba#c.
Doma2_31|To je jeni#kke znamjo, kotre#z m#o#zu #ci da#c.
Doma2_32|Krabat b#e#se zaso swobodny, ale doma namaka staru b#edu, hubjenstwo a nuzu. To b#echu w m#lynje l#ep#se ch#l#o#s#cenki sydali. Kro#siki star#sej njem#eje#staj, a ma#le nawuknjene kuz#la nochcychu tak prawje skutkowa#c.
Doma2_33|Tola hdy#z m#eje#se Krabat chwile abo wje#kor, jako hw#ezdy na firmamen#ce li#ke#se, dopomina#se so husto na rozmo#lwu m#lynka z k#o#kku. B#e#staj tehdy wo knize bachta#loj, kotra#z dyrbje#se njesm#ernu m#oc spo#z#ke#c a kotra#z b#e#se m#lynka tak rozhn#ewa#la, dokel#z ju njewobsed#de#se.
Doma2_34|#fN#e#sto w#erneho je p#reco srjed#d tutoho wusmu#za.#F Tutu sadu Krabat njeb#e zaby#l. A w h#ol#kecu ros#ce#se p#re#ce, wjace wo wonej knize zhoni#c. Chcy#se ju samo pyta#c a namaka#c.
Doma2_35|To je moja luba ma#ci!
Doma4_1|Doma b#e w#ezo wulke wjeselo po nawr#o#ce zhubjeneho syna. Ma#c b#e#se na#seho m#lodeho rjeka porjadnje wuswarje#la, ale wje#kor p#ri dobrym kusku swinje#ca, kotre#z b#e#se nan zar#eza#l, so #cmowe mr#o#kele ma#cerneje staros#ciwos#ce rozpu#s#cichu. Krabat dyrbje#se p#ri njed#delskej sukni ma#cerje slubi#c, zo wostanje w domiznje.
Doma4_2|Haj, w domiznje, #sto#z zap#rija w#ezo te#z ma#lu serbsku wjesku Wotrow, nad kotrej#z tr#onuje wu#cek na#sich prjedownikow - hrod#di#s#co.%%Tam chowa so s#lawna kniha. A Krabat so zaso na pu#c poda.
Dubring1_1|B#l#oto z bahna.
Dubring1_2|B#l#oto z bahna.
Dubring1_3|Jednotliwa ha#lza.
Dubring1_4|Wotemr#ete #stomy. Wupadaja ka#z #serjenja!
Dubring1_5|Wono smjerd#di. To njep#rimnu. Hdy#z do bahna padnu, mi nicht#o njepomha.
Dubring1_6|Wono smjerd#di. To njep#rimnu. Hdy#z do bahna padnu, mi nicht#o njepomha.
Dubring1_7|Tak ju njedosahnu.
Dubring1_8|To ja hi#s#ce trjebam.
Dubring1_9|To ja hi#s#ce trjebam.
Dubring1_10|Ja tola h#lupy njejsym!
Dubring1_11|Ja tola h#lupy njejsym!
Dubring1_12|Te njedosahnu.
Dzera_1|Je pilny, samo p#repilny - a w#on je mudry ...
Dzera_2|... snano p#remudry ... miaw ... a l#eto je nimale dopjelni#l.
Dzera_3|Haj! A ty w#e#s, #sto to r#eka, najlub#sa k#o#kka.
Dzera_4|W#ezo, najl#ep#si a najmudri#si so zhubi ... miaw ... a jeho kos#ce so z#lamaja w m#lynskim kole.
Dzera_5|W kole, bjez nawr#ota ... miaw ... a helski mi#str so wjeseli.
Dzera_6|Tak je postajene. #St#o#z je mudry, t#on je te#z m#ocny - a to ja njeznjesu. Jedyn po#lny m#esa#kk hi#s#ce wo#kaknu, potom w#on wumrje.
Dzera_7|Kos#ce so z#lamaja? Jedyn po#lny m#esa#kk hi#s#ce? Koho jeno#z m#enitaj?
Dzera_8|Ty ma#s strach, zo bud#de p#resylny ... miaw ... Bjez knihi zm#eje#s p#reco strach.
Dzera_9|Tajki ka#l! Kniha je pre#k, a k#onc! To je jeno#z hi#s#ce pow#es#c.
Dzera_10|Ty nima#s wulku m#oc ... miaw ... Je to jeno#z snadny, m#oli#kki d#d#el toho, #sto#z wobsahowa#se kniha - kniha w#sitkich #kornych knihow ... miaw ...
Dzera_11|Nimam m#oc? Ja nimam m#oc? Mam #ce do zajaca p#rekuz#la#c? D#di rad#so my#se #l#oji#c ...
Dzera_12|Ach te stare, smjerd#date my#se - to ni#ko za mnje njeje ... miaw ... A twoje kuz#larske kum#sty dosahaja runje tak za d#d#e#cace narodniny ... miaw ...
Dzera_13|Za wulke, m#ocne kuz#la faluje #ci kniha.
Dzera_14|D#di mi z pu#ca, won! A p#rihotuj w#sitko! Hdy#z p#o#knje pr#enje lis#co pada#c, padnje te#z jeho du#sa.
Dzera_15|KRABATO, twoja s#lu#zba so nachila.
Dzera_16|#Sto ? Ja sym m#enjeny ... ? Ow ma#ci, pomhaj mi ...
Dzera_17|N#etko so Krabat dopomni na warnowanje lud#di a na s#lowa ma#cerje. A ma#c b#e#se te#z klu#k swobody. Wuprosy sebi wot m#lynka n#e#sto swobodneho #kasa, zo by m#oh#l star#seju wopyta#c.
Extro_1|(c) Za#lo#zba za serbski lud 2001
Extro_2|Koraktor b#e#se w dobrymaj rukomaj. Krabat bu znaty a zdobom dobro#cel serbskeho luda. Na#lo#zowa#se m#oc knihi a swoje nazhonjenja na dobro chudych. Pol#ep#si jim p#eskojtu rolu, wusu#si tonid#la, zm#erowa #sk#odne njewjedra a hdys a hdys p#estowa#se te#z styki do Drje#zd#dan.
Extro_3|Krabat b#e dobra du#sa. Po jeho smjer#ci zwosta jeno#z pow#es#c, ki#z so p#rez mjezy serbskich honow roz#s#eri. Kuz#larska kniha pak so #zenje wjace njenamaka. Stary m#lod#denc, ka#z jeho burja mjenowachu, potomstwo njem#eje#se. Tola jeho duch je #zi#lka na#seho #ziwjenja. K#o#zdy m#o#ze tak sylny, wutrajny, zmu#zity a njesebi#kny by#c, ka#z w#on. Dyrbi jeno#z Krabatowu stronku w sebi namaka#c.
Extro_4|Pow#es#c wo pastyrskim h#olcu z Jitka wostanje kruty wobstatk na#seho w#edomja, do#lho#z s#ly#simy pluskotanje Kl#o#sterskeje wody.
